  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 12:26:55	  -3.995	 -10.000	  106.58	 1019.27	   12.32	    13.6	   962.5	   241.1	  -459.9	    88.0	  -479.4	   0.000	   1.244	   248.6	    20.0	  230998	   61.51	   61.50	    1.48	    1.66	    0.00	  14.054	  14.186	  47.982	  47.266	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 12:28:08	   5.995	   0.000	  107.14	 1019.23	   12.37	    46.8	   -34.9	   388.9	   400.4	   -10.7	    12.2	   0.000	   1.244	   249.9	    20.0	  231553	   61.49	   61.51	    1.46	    1.60	    0.00	  14.353	  14.415	  47.914	  47.168	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 12:29:42	  -3.995	   0.000	  106.69	 1019.20	   12.38	   440.0	   -41.4	  -195.6	  -173.5	   440.7	    -2.6	   0.000	   1.244	   248.9	    20.0	  231047	   41.00	   41.00	    0.16	    0.16	    0.00	  14.550	  14.565	  42.557	  42.253	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 12:31:20	   5.995	 -10.000	  106.49	 1019.20	   12.38	   563.8	   819.7	   625.9	    48.0	   315.7	  -395.7	   0.000	   1.243	   248.4	    20.0	  230830	   41.00	   41.00	    0.16	    0.26	    0.00	  14.403	  14.431	  42.509	  42.942	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 12:32:17	   5.995	  -5.000	  106.75	 1019.20	   12.38	    93.2	   295.1	   501.5	   273.7	    18.6	  -151.4	   0.000	   1.244	   249.0	    20.0	  231121	   61.50	   61.51	    1.53	    1.63	    0.00	  14.437	  14.440	  48.137	  46.745	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 12:33:11	  -3.995	  -5.000	  106.66	 1019.21	   12.37	   485.4	   424.1	   -37.4	  -329.2	   459.0	  -235.0	   0.000	   1.244	   248.8	    20.0	  231025	   41.00	   41.00	    0.21	    0.21	    0.00	  14.533	  14.514	  43.135	  43.450	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 12:33:32	  -3.995	  -5.000	  106.68	 1019.21	   12.38	   485.4	   423.1	   -37.7	  -328.6	   458.5	  -234.3	   0.000	   1.244	   248.9	    20.0	  231045	   41.00	   41.00	    0.13	    0.16	    0.00	  14.527	  14.507	  43.132	  43.445	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 12:34:37	   5.995	  -5.000	  106.42	 1019.21	   12.38	    90.5	   295.6	   500.0	   273.5	    16.0	  -152.3	   0.000	   1.244	   248.3	    20.0	  230760	   61.50	   61.49	    1.54	    1.51	    0.00	  14.590	  14.579	  46.450	  46.770	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 12:35:48	   5.995	 -10.005	  106.55	 1019.20	   12.38	   563.9	   821.7	   626.7	    48.0	   315.4	  -396.9	   0.000	   1.244	   248.6	    20.0	  230909	   41.00	   41.00	    0.19	    0.26	    0.00	  14.681	  14.657	  40.831	  42.300	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 12:37:08	  -3.995	  -0.005	  106.60	 1019.20	   12.38	   438.2	   -42.5	  -194.9	  -172.6	   439.6	    -0.9	   0.000	   1.243	   248.7	    20.0	  230956	   41.00	   41.00	    0.10	    0.12	    0.00	  14.559	  14.544	  40.876	  41.608	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 12:38:12	   5.995	  -0.005	  106.59	 1019.20	   12.38	    43.3	   -33.2	   388.4	   398.0	   -13.8	    11.3	   0.000	   1.244	   248.7	    20.0	  230942	   61.50	   61.50	    1.44	    1.46	    0.00	  14.594	  14.597	  46.070	  45.704	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 12:39:31	  -3.995	 -10.000	  106.54	 1019.21	   12.38	    10.2	   976.6	   245.8	  -462.8	    86.0	  -487.4	   0.000	   1.244	   248.5	    20.0	  230891	   61.50	   61.51	    1.48	    1.64	    0.00	  14.879	  14.857	  46.000	  45.742	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 12:39:50	  -3.995	 -10.000	  106.56	 1019.21	   12.38	    10.2	   978.1	   246.7	  -463.4	    85.3	  -488.0	   0.000	   1.244	   248.6	    20.0	  230914	   61.50	   61.51	    1.59	    1.49	    0.00	  14.942	  14.920	  46.020	  45.743	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 12:41:21	   5.995	   0.000	  106.79	 1019.22	   12.38	    43.4	   -32.9	   388.4	   398.9	   -13.1	    11.2	   0.000	   1.244	   249.1	    20.0	  231167	   61.50	   61.50	    1.57	    1.46	    0.00	  15.195	  15.180	  46.020	  45.650	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 12:42:04	  -3.995	   0.000	  106.56	 1019.21	   12.36	   439.6	   -35.1	  -192.4	  -175.9	   441.2	    -2.7	   0.000	   1.244	   248.6	    20.0	  230935	   41.00	   41.00	    0.16	    0.21	    0.00	  15.237	  15.221	  40.782	  42.241	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 12:43:28	   5.995	 -10.000	  106.70	 1019.21	   12.36	   565.3	   818.7	   626.5	    48.9	   316.8	  -394.6	   0.000	   1.244	   248.9	    20.0	  231080	   41.00	   41.00	    0.20	    0.25	    0.00	  15.017	  15.041	  40.760	  42.949	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 12:44:41	   5.995	  -5.000	  106.70	 1019.21	   12.34	    92.4	   294.7	   502.2	   273.8	    18.1	  -151.0	   0.000	   1.244	   248.9	    20.0	  231101	   61.50	   61.50	    1.50	    1.56	    0.00	  15.006	  15.020	  47.346	  47.356	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 12:45:43	  -3.995	  -5.000	  106.67	 1019.19	   12.35	   484.4	   427.3	   -36.3	  -329.4	   458.1	  -236.7	   0.000	   1.244	   248.8	    20.0	  231059	   41.00	   41.00	    0.16	    0.18	    0.00	  15.035	  15.044	  43.016	  43.115	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 12:46:19	  -3.995	 -10.000	  106.57	 1019.18	   12.36	     9.3	   979.5	   247.1	  -463.5	    85.6	  -489.0	   0.000	   1.244	   248.6	    20.0	  230934	   61.49	   61.51	    1.38	    1.52	    0.00	  14.985	  15.009	  48.772	  46.921	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 12:47:31	   5.995	   0.000	  106.71	 1019.17	   12.36	    42.4	   -33.2	   388.4	   399.3	   -12.9	    11.0	   0.000	   1.244	   249.0	    20.0	  231097	   61.50	   61.50	    1.32	    1.57	    0.00	  15.118	  15.135	  48.799	  46.859	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 12:48:25	  -3.995	   0.000	  106.46	 1019.18	   12.34	   437.8	   -41.2	  -194.9	  -172.9	   439.6	    -2.3	   0.000	   1.244	   248.4	    20.0	  230842	   41.00	   41.00	    0.19	    0.17	    0.00	  15.156	  15.164	  45.313	  44.172	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 12:49:48	   5.995	 -10.000	  106.58	 1019.17	   12.36	   565.4	   815.2	   624.7	    49.9	   316.1	  -392.7	   0.000	   1.244	   248.6	    20.0	  230953	   41.00	   41.00	    0.16	    0.26	    0.00	  14.959	  15.000	  45.285	  44.927	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 12:51:18	  -3.995	 -10.000	  239.42	 1019.18	   12.55	  -164.4	  2316.1	   590.0	 -1041.3	    59.1	 -1149.2	   0.000	   1.243	   559.4	    30.0	  346114	   92.30	   92.30	    4.75	    4.95	    0.00	  15.419	  15.437	  49.802	  49.032	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 12:52:49	   5.995	   0.000	  239.47	 1019.20	   12.60	   -70.8	   -40.4	   930.4	   936.3	  -288.6	     4.9	   0.000	   1.243	   559.5	    30.0	  346073	   92.30	   92.30	    4.62	    4.85	    0.00	  16.772	  16.760	  49.983	  49.112	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 12:53:06	   5.995	   0.000	  239.44	 1019.19	   12.60	   -70.6	   -40.3	   930.2	   936.2	  -288.9	     5.0	   0.000	   1.243	   559.4	    30.0	  346044	   92.30	   92.30	    4.96	    4.99	    0.00	  17.004	  16.999	  49.959	  49.092	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 12:54:39	  -3.995	 -10.000	  239.10	 1019.25	   12.70	  -673.0	  3952.1	   987.7	 -1331.7	  -218.4	 -2089.4	   0.000	   1.242	   558.6	    30.0	  345656	   92.30	   92.30	    4.61	    5.37	    0.00	  18.066	  18.146	  49.641	  48.920	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 12:54:58	  -3.995	 -10.000	  239.03	 1019.25	   12.73	  -674.0	  3951.8	   987.5	 -1331.4	  -218.7	 -2089.1	   0.000	   1.242	   558.5	    30.0	  345559	   92.30	   92.30	    4.53	    5.07	    0.00	  18.208	  18.326	  49.629	  48.890	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 12:56:26	   5.995	   0.000	  239.20	 1019.23	   12.71	   -74.7	   -27.0	   935.0	   928.9	  -290.6	     5.5	   0.000	   1.242	   558.9	    30.0	  345708	   92.31	   92.30	    4.92	    5.03	    0.00	  18.778	  19.035	  49.805	  48.900	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 12:57:58	  -3.995	   0.000	  423.42	 1019.23	   13.14	  -719.8	   -10.1	  -445.1	  -473.4	    -2.7	   -13.6	   0.000	   1.240	   992.5	    40.0	  459818	  123.00	  122.99	   10.47	   11.02	    0.00	  20.292	  20.562	  56.180	  53.671	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 12:59:27	   5.995	 -10.000	  423.07	 1019.22	   13.20	  -802.6	  5690.3	  3462.4	   139.2	 -1067.1	 -2913.4	   0.000	   1.240	   991.6	    40.0	  459506	  123.00	  123.00	   10.30	   10.94	    0.00	  23.576	  24.133	  56.021	  53.486	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 13:00:37	  -3.995	 -10.000	  423.03	 1019.21	   13.33	   858.9	  6616.4	  1417.8	 -2485.0	  1005.6	 -3479.6	   0.000	   1.239	   991.5	    40.0	  459218	   82.00	   82.01	    0.67	    0.86	    0.00	  23.955	  25.033	  50.417	  50.373	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 13:02:05	   5.995	   0.000	  422.86	 1019.21	   13.36	  1936.2	    -9.2	  1355.0	  1323.1	   999.6	   -12.1	   0.000	   1.239	   991.1	    40.0	  459059	   81.97	   82.00	    0.26	    0.34	    0.00	  21.364	  22.631	  49.332	  48.555	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 13:03:10	  -3.995	   0.000	  422.90	 1019.20	   13.48	   746.5	    -6.4	  -629.7	  -658.7	  1048.5	   -18.2	   0.000	   1.239	   991.2	    40.0	  458833	   98.40	   98.39	    3.20	    3.42	    0.00	  20.188	  21.357	  53.492	  51.695	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 13:04:57	   5.995	 -10.000	  422.51	 1019.19	   13.46	   607.1	  5732.0	  3259.7	   -65.9	   -40.2	 -2929.3	   0.000	   1.239	   990.3	    40.0	  458657	   98.40	   98.40	    3.36	    4.02	    0.00	  19.633	  20.626	  53.424	  52.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 13:05:48	   1.005	 -10.000	  422.66	 1019.20	   13.53	 -1327.4	  6209.9	  2676.7	  -940.0	 -1104.0	 -3271.3	   0.000	   1.239	   990.7	    40.0	  458602	  123.00	  122.99	   10.70	   10.99	    0.00	  19.915	  20.872	  53.351	  54.407	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      36	 13:06:52	   1.005	  -0.005	  422.06	 1019.19	   13.64	  1467.0	   -56.7	   398.6	   397.6	  1033.0	     9.5	   0.000	   1.238	   989.3	    40.0	  458043	   82.02	   82.00	    0.16	    0.28	    0.00	  21.032	  22.019	  47.863	  49.870	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      37	 13:08:01	   1.005	  -9.995	  422.20	 1019.20	   13.68	 -1327.8	  6199.2	  2672.8	  -937.4	 -1104.5	 -3265.5	   0.000	   1.238	   989.6	    40.0	  458043	  123.00	  122.99	   10.84	   11.44	    0.00	  21.144	  22.202	  52.426	  52.685	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      38	 13:09:09	   1.005	  -0.005	  422.32	 1019.19	   13.73	  1469.9	   -57.0	   398.1	   398.2	  1035.3	    10.1	   0.000	   1.238	   989.9	    40.0	  457995	   81.99	   82.00	    0.24	    0.28	    0.00	  21.918	  23.172	  39.004	  49.453	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      39	 13:10:12	   5.995	  -9.995	  422.24	 1019.21	   13.70	   606.8	  5731.7	  3257.3	   -67.8	   -38.7	 -2929.4	   0.000	   1.238	   989.7	    40.0	  458022	   98.40	   98.40	    4.08	    4.10	    0.00	  20.991	  22.370	  42.587	  52.612	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      40	 13:12:05	  -3.995	  -0.005	  422.25	 1019.23	   13.88	   744.6	    -6.6	  -628.9	  -657.5	  1046.9	   -19.6	   0.000	   1.237	   989.7	    40.0	  457664	   98.40	   98.40	    4.40	    3.77	    0.00	  20.021	  21.491	  42.767	  52.172	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 13:13:05	   5.995	  -0.005	  422.20	 1019.22	   13.82	  1939.6	   -13.1	  1351.4	  1320.9	  1001.0	   -10.7	   0.000	   1.237	   989.6	    40.0	  457754	   81.99	   82.00	    0.45	    0.22	    0.00	  19.531	  20.945	  36.728	  48.524	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 13:14:28	  -3.995	  -9.995	  422.13	 1019.23	   13.93	   860.7	  6609.6	  1415.8	 -2482.0	  1003.4	 -3476.9	   0.000	   1.237	   989.4	    40.0	  457511	   82.00	   82.00	    1.04	    0.84	    0.00	  18.650	  19.898	  38.145	  50.516	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 13:15:19	   5.995	  -9.995	  422.00	 1019.22	   13.90	  -793.5	  5682.8	  3452.8	   138.7	 -1060.3	 -2910.1	   0.000	   1.237	   989.1	    40.0	  457499	  122.99	  122.99	   13.10	   11.20	    0.00	  18.602	  19.741	  43.287	  52.720	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 13:17:10	  -3.995	  -0.005	  421.91	 1019.20	   14.02	  -715.1	   -12.6	  -446.0	  -471.0	    -1.7	   -13.2	   0.000	   1.236	   988.9	    40.0	  457189	  123.00	  123.00	   13.58	   11.72	    0.00	  22.589	  23.905	  43.454	  53.190	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 13:17:26	  -3.995	  -0.005	  421.94	 1019.20	   14.02	  -714.7	   -12.4	  -446.1	  -471.7	    -1.5	   -13.3	   0.000	   1.236	   989.0	    40.0	  457207	  123.00	  123.00	   13.32	   11.36	    0.00	  23.177	  24.608	  43.439	  53.194	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 13:18:53	   5.995	  -9.995	  422.09	 1019.20	   13.90	  -792.8	  5690.9	  3454.2	   134.4	 -1059.1	 -2915.0	   0.000	   1.237	   989.3	    40.0	  457530	  123.00	  123.00	   13.14	   11.54	    0.00	  25.662	  27.752	  43.301	  52.882	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 13:19:56	  -3.995	  -9.995	  421.98	 1019.20	   13.98	   862.2	  6611.8	  1414.8	 -2482.9	  1006.0	 -3478.6	   0.000	   1.237	   989.1	    40.0	  457314	   82.00	   82.00	    0.86	    0.86	    0.00	  26.226	  28.806	  38.185	  49.691	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 13:21:12	   5.995	   0.000	  422.20	 1019.18	   13.96	  1940.5	   -12.2	  1348.1	  1320.3	  1006.3	   -11.0	   0.000	   1.237	   989.6	    40.0	  457469	   82.00	   82.00	    0.26	    0.31	    0.00	  23.616	  26.213	  37.077	  47.800	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      49	 13:22:15	  -3.995	   0.000	  422.06	 1019.17	   14.04	   751.1	    -7.9	  -632.9	  -657.8	  1052.4	   -18.6	   0.000	   1.236	   989.3	    40.0	  457229	   98.40	   98.42	    4.01	    3.73	    0.00	  21.940	  24.254	  46.118	  51.470	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
