  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 11:55:56	   0.005	   0.000	 1019.39	   12.70	     0.5	    -1.7	     0.0	     0.0	     0.0	     0.0
       0	 11:56:39	   0.995	   0.000	 1019.40	   12.68	    -1.1	    -1.7	    -2.5	     1.2	     4.5	    -0.3
       0	 11:58:19	  -3.995	   0.000	 1019.41	   12.64	     4.7	    -0.3	    -4.2	    -4.3	    15.2	    -0.8
       0	 12:16:04	  -4.000	   0.000	 1019.34	   12.56	     3.9	     0.9	    -4.3	    -6.1	    17.7	     0.0
       0	 12:17:16	   5.995	 -10.000	 1019.36	   12.55	     8.2	    -6.0	   -16.0	   -16.0	    84.1	    -2.0
       0	 12:17:59	  -3.995	 -10.000	 1019.36	   12.54	    14.7	    -5.0	    -0.5	    -7.5	    12.8	    -2.0
       0	 12:19:07	   5.995	   0.000	 1019.32	   12.52	    -4.4	    -5.4	   -21.3	   -14.0	    91.9	     3.4
       0	 12:20:06	  -3.995	  -5.000	 1019.33	   12.50	     2.1	     1.0	    -3.4	    -6.4	    16.8	    -3.4
       0	 12:20:45	   5.995	  -5.000	 1019.32	   12.50	    -6.7	    -2.5	   -18.9	   -14.2	    87.9	    -1.7
