delta_e_deg,V_nominal,prop_speed_hz,alpha_nominal_deg,cm_mean,cm_std,sample_count,beta_mean,j_mean,j_nominal,test_block
-10,20.0,27.6,-2,0.31891,0.0,1,0.0,3.5839609722697707,3.5661303206664385,BRK
-10,20.0,27.6,0,0.25551,0.0,1,0.0,3.5839609722697707,3.5661303206664385,BRK
-10,20.0,27.6,4,0.13971,0.0,1,0.0,3.5821779071094375,3.5661303206664385,BRK
-10,20.0,27.6,8,-0.00409,0.0,1,0.0,3.578611776788771,3.5661303206664385,BRK
-10,20.0,27.6,12,-0.17663,0.0,1,0.0,3.587527102590437,3.5661303206664385,BRK
-10,20.0,,-2,0.32599,0.0,1,0.0,,,FREE
-10,20.0,,0,0.25328,0.0,1,0.0,,,FREE
-10,20.0,,4,0.12176,0.0,1,0.0,,,FREE
-10,20.0,,8,-0.03578,0.0,1,0.0,,,FREE
-10,20.0,,12,-0.22209,0.0,1,0.0,,,FREE
-10,40.0,39.4,-2,0.31394,0.0,1,0.0,5.022432950957273,4.996202885806787,BRK
-10,40.0,39.4,0,0.24846,0.0,1,0.0,5.021183900235822,4.996202885806787,BRK
-10,40.0,39.4,4,0.13132,0.0,1,0.0,5.0111914944642075,4.996202885806787,BRK
-10,40.0,39.4,8,-0.01421,0.0,1,0.0,5.019934849514369,4.996202885806787,BRK
-10,40.0,39.4,12,-0.1777,0.0,1,0.0,5.022432950957273,4.996202885806787,BRK
-10,40.0,55.1,-2,0.31572,0.0,1,0.0,3.589572288037498,3.572602426511568,BRK
-10,40.0,55.1,0,0.24838,0.0,1,0.0,3.5904654386441264,3.572602426511568,BRK
-10,40.0,55.1,4,0.1273,0.0,1,0.0,3.5904654386441264,3.572602426511568,BRK
-10,40.0,55.1,8,-0.01962,0.0,1,0.0,3.586892836217614,3.572602426511568,BRK
-10,40.0,55.1,12,-0.18441,0.0,1,0.0,3.5931448904640093,3.572602426511568,BRK
-10,40.0,78.7,-2,0.31904,0.0,1,0.0,2.514407347747351,2.5012756505817966,ZERO
-10,40.0,78.7,0,0.24761,0.0,1,0.0,2.5225364936117423,2.5012756505817966,ZERO
-10,40.0,78.7,4,0.1205,0.0,1,0.0,2.5150326666599967,2.5012756505817966,ZERO
-10,40.0,78.7,8,-0.036055000000000004,0.0004030508652763255,2,0.0,2.5140946882910282,2.5012756505817966,REPLICATE/ZERO
-10,40.0,78.7,12,-0.20437,0.0,1,0.0,2.5150326666599967,2.5012756505817966,ZERO
-10,40.0,123.0,8,-0.08567,0.0,1,0.0,1.6076115485564304,1.6004097048844503,MANDATORY
-10,40.0,,-2,0.32078,0.0,1,0.0,,,FREE
-10,40.0,,0,0.24454,0.0,1,0.0,,,FREE
-10,40.0,,4,0.10945,0.0,1,0.0,,,FREE
-10,40.0,,8,-0.0611,0.0,1,0.0,,,FREE
-10,40.0,,12,-0.24202,0.0,1,0.0,,,FREE
0,20.0,22.0,-2,0.05913,0.0,1,0.0,4.487294201861131,4.473872584108805,BRK
0,20.0,22.0,0,0.00525,0.0,1,0.0,4.4962419470293495,4.473872584108805,BRK
0,20.0,22.0,4,-0.08822,0.0,1,0.0,4.4962419470293495,4.473872584108805,BRK
0,20.0,22.0,8,-0.22741,0.0,1,0.0,4.498478883321403,4.473872584108805,BRK
0,20.0,22.0,12,-0.39844,0.0,1,0.0,4.494005010737294,4.473872584108805,BRK
0,20.0,27.6,-2,0.050960000000000005,0.014340125522463186,2,0.0,3.593767830651603,3.5661303206664385,BRK/CAL
0,20.0,27.6,0,-0.010579999999999999,0.018186786412118003,2,0.0,3.5910932329111036,3.5661303206664385,BRK/CAL
0,20.0,27.6,4,-0.10932,0.02938735782611291,2,0.0,3.583069439689604,3.5661303206664385,BRK/CAL
0,20.0,27.6,8,-0.25290999999999997,0.0368261211641954,2,0.0,3.5848525048499376,3.5661303206664385,BRK/CAL
0,20.0,27.6,12,-0.44439,0.0566958217155374,2,0.0,3.5803948419491043,3.5661303206664385,BRK/CAL
0,40.0,39.4,-2,0.05623,0.0,1,0.0,5.024931052400176,4.996202885806787,CAL
0,40.0,39.4,0,-0.00282,0.0,1,0.0,5.021183900235822,4.996202885806787,CAL
0,40.0,39.4,4,-0.10114,0.0,1,0.0,5.016187697350015,4.996202885806787,CAL
0,40.0,39.4,8,-0.24123,0.0,1,0.0,5.0136895959071115,4.996202885806787,CAL
0,40.0,39.4,12,-0.41199,0.0,1,0.0,5.024931052400176,4.996202885806787,CAL
0,40.0,78.7,-2,0.05799,0.0,1,0.0,2.518159261223224,2.5012756505817966,CAL
0,40.0,78.7,0,-0.00518,0.0,1,0.0,2.5156579855726418,2.5012756505817966,CAL
0,40.0,78.7,4,-0.11185,0.0,1,0.0,2.514407347747351,2.5012756505817966,CAL
0,40.0,78.7,8,-0.2592,0.0,1,0.0,2.5125313910094147,2.5012756505817966,CAL
0,40.0,78.7,12,-0.45075,0.0,1,0.0,2.5112807531841237,2.5012756505817966,CAL
0,40.0,123.0,8,-0.35106,0.0,1,0.0,1.609211958261315,1.6004097048844503,MANDATORY
0,40.0,,-2,0.06131,0.0,1,0.0,,,FREE
0,40.0,,0,0.0016,0.0,1,0.0,,,FREE
0,40.0,,4,-0.09838,0.0,1,0.0,,,FREE
