delta_e_cfg,alpha_nominal_deg,ct_mean,ct_std,sample_count
-10,-2,0.046961,0.02864571820708987,6
-10,0,0.048528833333333334,0.028261722908673962,6
-10,4,0.019314833333333333,0.02798192964337282,6
-10,8,-0.05555625,0.041705644224904206,8
-10,12,-0.09756366666666666,0.032763620365684046,6
0,-2,0.057109,0.02154113191083514,6
0,0,0.05794716666666666,0.021671854617606377,6
0,4,0.027382166666666666,0.022041149538231136,6
0,8,-0.05155228571428571,0.04547108363826504,7
0,12,-0.09011283333333332,0.026923841965192607,6
10,-2,0.0477305,0.028715219509869678,6
10,0,0.047468,0.028735222609195147,6
10,4,0.015304499999999999,0.02881784001447714,6
10,8,-0.04969742857142857,0.02768098649408496,7
10,12,-0.10716216666666667,0.03285269057119472,6
