source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J,Ct_zero_thrust_ref,Ct_minus_Ct0
corr_elevator0rudder0.txt,64,7.996,0.0,0.9871,-0.005884,-0.00522,-0.10801,-0.143137,0.9767,-0.005216,-0.00758,-0.35106,-0.00058,40.22,348500.0,0.118,40.0,123.0,MANDATORY,1.609211958261315,1.6004097048844503,-0.047848972000000004,-0.09528802799999998
corr_elevator0rudder0.txt,65,-1.996,0.0,0.0069,0.066773,0.00191,0.05798,0.066972,0.0046,0.001905,-0.00059,0.05623,0.00198,40.23,348500.0,0.118,40.0,39.4,CAL,5.024931052400176,4.996202885806787,0.04892,0.018052000000000006
corr_elevator0rudder0.txt,66,-0.004,0.0,0.2127,0.067345,0.00275,0.05088,0.06736,0.2127,0.002745,-0.00082,-0.00282,0.00137,40.2,348100.0,0.118,40.0,39.4,CAL,5.021183900235822,4.996202885806787,0.049715,0.017645
corr_elevator0rudder0.txt,67,4.0,0.0,0.6075,0.078398,0.00655,0.05228,0.035831,0.6115,0.006547,-0.00128,-0.10114,-0.00025,40.16,347600.0,0.118,40.0,39.4,CAL,5.016187697350015,4.996202885806787,0.018113,0.017718
corr_elevator0rudder0.txt,68,8.0,0.0,0.9459,0.10578,-0.00232,-0.00341,-0.026894,0.9514,-0.002321,-0.00304,-0.24123,-0.0005,40.14,347400.0,0.118,40.0,39.4,CAL,5.0136895959071115,4.996202885806787,-0.047915,0.021020999999999998
corr_elevator0rudder0.txt,69,12.0,0.0,1.1252,0.161352,-0.00058,-0.1298,-0.076119,1.1342,-0.000583,-0.00286,-0.41199,-0.00154,40.23,348300.0,0.118,40.0,39.4,CAL,5.024931052400176,4.996202885806787,-0.105967,0.029848
corr_elevator0rudder0.txt,70,-1.996,0.0,0.0,0.048949,0.00226,0.05817,0.04892,-0.0017,0.002256,-0.0012,0.05799,0.00174,40.27,348300.0,0.118,40.0,78.7,CAL,2.518159261223224,2.5012756505817966,0.04892,0.0
corr_elevator0rudder0.txt,71,-0.004,0.0,0.2089,0.0497,0.00297,0.04755,0.049715,0.2089,0.002974,-0.0016,-0.00518,0.00118,40.23,347800.0,0.118,40.0,78.7,CAL,2.5156579855726418,2.5012756505817966,0.049715,0.0
corr_elevator0rudder0.txt,72,4.0,0.0,0.6115,0.060918,0.00744,0.04215,0.018113,0.6143,0.007435,-0.00198,-0.11185,-0.00053,40.21,347700.0,0.118,40.0,78.7,CAL,2.514407347747351,2.5012756505817966,0.018113,0.0
corr_elevator0rudder0.txt,73,8.0,0.0,0.9577,0.086216,0.00076,-0.01929,-0.047915,0.9604,0.000756,-0.00334,-0.2592,-0.0013,40.18,347400.0,0.118,40.0,78.7,CAL,2.5125313910094147,2.5012756505817966,-0.047915,0.0
corr_elevator0rudder0.txt,74,12.0,0.0,1.1492,0.135927,0.00148,-0.16438,-0.105967,1.1523,0.001476,-0.00354,-0.45075,-0.00202,40.16,347400.0,0.118,40.0,78.7,CAL,2.5112807531841237,2.5012756505817966,-0.105967,0.0
corr_elevator0rudder0.txt,90,-1.996,0.0,0.0059,0.068321,0.00057,0.06285,0.068486,0.0035,0.000568,-0.00072,0.06131,0.0023,40.22,348800.0,0.118,40.0,,FREE,,,0.04892,0.019566000000000007
corr_elevator0rudder0.txt,91,-0.005,0.0,0.2117,0.068918,0.00187,0.05509,0.068934,0.2117,0.001866,-0.00087,0.0016,0.00159,40.2,348300.0,0.118,40.0,,FREE,,,0.04971460090361446,0.019219399096385537
corr_elevator0rudder0.txt,92,4.0,0.0,0.6065,0.080001,0.00679,0.05486,0.037495,0.6107,0.006792,-0.00115,-0.09838,-0.00031,40.25,348600.0,0.118,40.0,,FREE,,,0.018113,0.019382
corr_elevator0rudder0.txt,93,8.0,0.0,0.9444,0.107329,-0.00113,-0.0029,-0.025146,0.9501,-0.001132,-0.00279,-0.24039,-0.00077,40.23,348400.0,0.118,40.0,,FREE,,,-0.047915,0.022768999999999998
corr_elevator0rudder0.txt,94,12.0,0.0,1.1191,0.163384,0.00054,-0.12299,-0.072852,1.1286,0.000539,-0.00264,-0.40386,-0.00193,40.18,348000.0,0.118,40.0,,FREE,,,-0.105967,0.033115000000000006
