thrust_level,velocity_ms,alpha_deg,effectiveness_dCm_ddelta,r_squared,sample_count
"BRK (Low Thrust, J≥4.0)",40.0,-2.0,-0.025065500000000004,1.0,2
"BRK (Low Thrust, J≥4.0)",40.0,-0.0,-0.024741999999999997,1.0,2
"BRK (Low Thrust, J≥4.0)",40.0,4.0,-0.0242495,1.0,2
"BRK (Low Thrust, J≥4.0)",40.0,8.0,-0.023186,1.0,2
"BRK (Low Thrust, J≥4.0)",40.0,12.0,-0.024434500000000005,1.0,2
"BRK (Med Thrust, 3.0≤J<4.0)",20.0,-2.0,-0.026447500000000006,0.9991174053109758,3
"BRK (Med Thrust, 3.0≤J<4.0)",20.0,-0.0,-0.025646000000000002,0.9974431424720329,3
"BRK (Med Thrust, 3.0≤J<4.0)",20.0,4.0,-0.024695500000000002,0.9971531315014331,3
"BRK (Med Thrust, 3.0≤J<4.0)",20.0,8.0,-0.024586000000000004,0.9953837477538202,3
"BRK (Med Thrust, 3.0≤J<4.0)",20.0,12.0,-0.024463500000000003,0.9782268421172994,3
"BRK (Med Thrust, 3.0≤J<4.0)",40.0,-2.0,-0.024936999999999997,0.9999999999999996,2
"BRK (Med Thrust, 3.0≤J<4.0)",40.0,-0.0,-0.0245335,1.0,2
"BRK (Med Thrust, 3.0≤J<4.0)",40.0,4.0,-0.024023,1.0,2
"BRK (Med Thrust, 3.0≤J<4.0)",40.0,8.0,-0.023046,1.0,2
"BRK (Med Thrust, 3.0≤J<4.0)",40.0,12.0,-0.024867999999999998,0.9999999999999996,2
FREE (Windmilling),20.0,-2.0,-0.028732999999999995,1.0,2
FREE (Windmilling),20.0,0.0,-0.027949500000000002,1.0,2
FREE (Windmilling),20.0,4.0,-0.026569500000000003,1.0,2
FREE (Windmilling),20.0,8.0,-0.026682,1.0,2
FREE (Windmilling),20.0,12.0,-0.0277185,1.0,2
FREE (Windmilling),40.0,-2.0,-0.0275845,0.9988267210410726,3
FREE (Windmilling),40.0,0.0,-0.02716,0.9963020366357349,3
FREE (Windmilling),40.0,4.0,-0.026499500000000002,0.9847250849721508,3
FREE (Windmilling),40.0,8.0,-0.024839500000000004,0.9748493341005953,3
FREE (Windmilling),40.0,12.0,-0.027850500000000004,0.9447405594329601,3
MANDATORY (High Power),40.0,8.0,-0.026539,1.0,2
REPLICATE (High Power),40.0,8.0,-0.023270500000000003,1.0,2
ZERO (Locked),40.0,-2.0,-0.02535,1.0,2
ZERO (Locked),40.0,0.0,-0.0249105,1.0,2
ZERO (Locked),40.0,4.0,-0.024293,1.0,2
ZERO (Locked),40.0,8.0,-0.0232285,1.0,2
ZERO (Locked),40.0,12.0,-0.026045500000000003,1.0,2
