V_nominal,prop_speed_hz,alpha_nominal_deg,cm_delta_e_per_deg,r_squared,n_elevator_levels,sample_count,j_nominal,test_block
20.0,27.6,-2,-0.026447499999999995,0.9999424567853465,3,4,3.5661303206664385,BRK/BRK/CAL
20.0,27.6,0,-0.025646,0.9995302270825626,3,4,3.5661303206664385,BRK/BRK/CAL
20.0,27.6,4,-0.024695500000000002,0.9999764674451268,3,4,3.5661303206664385,BRK/BRK/CAL
20.0,27.6,8,-0.024585999999999997,0.9999516868415533,3,4,3.5661303206664385,BRK/BRK/CAL
20.0,27.6,12,-0.024463500000000003,0.997030294393162,3,4,3.5661303206664385,BRK/BRK/CAL
20.0,,-2,-0.028732999999999995,1.0,2,2,,FREE
20.0,,0,-0.0279495,1.0,2,2,,FREE
20.0,,4,-0.026569499999999996,1.0,2,2,,FREE
20.0,,8,-0.026681999999999997,1.0,2,2,,FREE
20.0,,12,-0.027718499999999993,1.0,2,2,,FREE
40.0,39.4,-2,-0.025065499999999998,0.9997359991241156,3,3,4.996202885806787,BRK/CAL
40.0,39.4,0,-0.024741999999999997,0.9999188761568973,3,3,4.996202885806787,BRK/CAL
40.0,39.4,4,-0.024249499999999993,0.9994294941736549,3,3,4.996202885806787,BRK/CAL
40.0,39.4,8,-0.023186000000000002,0.9998547705379832,3,3,4.996202885806787,BRK/CAL
40.0,39.4,12,-0.0244345,0.9994358547864276,3,3,4.996202885806787,BRK/CAL
40.0,55.1,-2,-0.024937,1.0,2,2,3.572602426511568,BRK
40.0,55.1,0,-0.024533499999999996,1.0,2,2,3.572602426511568,BRK
40.0,55.1,4,-0.024022999999999992,1.0,2,2,3.572602426511568,BRK
40.0,55.1,8,-0.023045999999999997,1.0,2,2,3.572602426511568,BRK
40.0,55.1,12,-0.024867999999999998,1.0,2,2,3.572602426511568,BRK
40.0,78.7,-2,-0.025349999999999994,0.9997044109582964,3,3,2.5012756505817966,CAL/ZERO
40.0,78.7,0,-0.0249105,0.999927061443809,3,3,2.5012756505817966,CAL/ZERO
40.0,78.7,4,-0.024292999999999995,0.9993681510253145,3,3,2.5012756505817966,CAL/ZERO
40.0,78.7,8,-0.023249499999999996,0.9994611837759038,3,5,2.5012756505817966,CAL/REPLICATE/ZERO
40.0,78.7,12,-0.0260455,0.9990275045025889,3,3,2.5012756505817966,CAL/ZERO
40.0,123.0,8,-0.026538999999999997,1.0,2,2,1.6004097048844503,MANDATORY
40.0,,-2,-0.027584499999999998,0.9988267210410726,3,3,,FREE
40.0,,0,-0.02716,0.9963020366357347,3,3,,FREE
40.0,,4,-0.0264995,0.9847250849721507,3,3,,FREE
40.0,,8,-0.024839499999999994,0.9748493341005952,3,3,,FREE
40.0,,12,-0.027850499999999997,0.9447405594329599,3,3,,FREE
