  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 08:49:45	  12.000	   0.000	  414.99	 1011.71	   16.29	  2235.9	    20.8	  1861.0	  1706.6	  1276.1	    16.9	   0.000	   1.218	   972.5	    40.0	  447204	  103.00	  103.01	    9.60	    9.59	    0.00	  17.836	  18.319	  29.599	  29.133	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 08:51:00	   8.004	   0.000	  416.61	 1011.74	   16.38	  1053.4	   -67.6	  1589.5	  1496.1	   768.9	    59.4	   0.000	   1.217	   976.4	    40.1	  447919	  103.00	  103.00	    8.76	    9.19	    0.00	  18.563	  19.315	  29.204	  28.838	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 08:51:40	   4.000	   0.000	  419.45	 1011.78	   16.44	   515.5	  -102.1	   890.4	   859.8	   781.1	    51.4	   0.000	   1.217	   983.1	    40.2	  449347	  103.00	  103.00	    8.75	    8.62	    0.00	  18.937	  19.698	  29.142	  28.679	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 08:52:06	   0.000	   0.000	  418.11	 1011.73	   16.49	   367.2	  -155.8	    15.3	    72.6	  1028.8	    40.5	   0.000	   1.217	   979.9	    40.1	  448499	  103.00	  103.00	    8.16	    8.65	    0.00	  19.150	  19.883	  29.046	  28.638	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 08:52:36	  -2.000	   0.000	  417.30	 1011.74	   16.57	   431.7	  -141.8	  -457.2	  -388.3	  1299.9	    25.2	   0.000	   1.217	   978.0	    40.1	  447913	  103.00	  102.99	    8.57	    8.78	    0.00	  19.375	  20.055	  29.056	  28.652	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 08:54:43	  -2.000	   0.000	  415.12	 1011.73	   16.70	  1998.9	    75.5	  -608.7	  -620.1	  2415.2	  -108.1	   0.000	   1.216	   972.9	    40.0	  446473	   39.40	   39.40	   -1.19	   -1.28	    0.00	  19.700	  20.022	  24.710	  24.085	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 08:55:05	  -0.004	   0.000	  414.87	 1011.72	   16.73	  1932.9	    32.1	  -174.4	  -174.4	  2174.3	   -76.8	   0.000	   1.216	   972.3	    40.0	  446287	   39.40	   39.40	   -1.18	   -1.17	    0.00	  19.600	  19.845	  24.725	  24.105	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 08:55:28	   4.000	   0.000	  413.17	 1011.73	   16.76	  2060.2	   -51.5	   605.7	   626.7	  1962.9	   -20.1	   0.000	   1.216	   968.3	    39.9	  445295	   39.40	   39.40	   -1.23	   -1.22	    0.00	  19.493	  19.665	  24.766	  24.165	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 08:56:06	   8.000	   0.000	  414.60	 1011.76	   16.78	  2641.4	    33.9	  1276.8	  1185.0	  2060.8	     4.2	   0.000	   1.216	   971.6	    40.0	  446044	   39.40	   39.40	   -1.14	   -1.29	    0.00	  19.300	  19.406	  24.679	  24.105	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 08:56:42	  12.000	   0.000	  414.96	 1011.75	   16.76	  3909.6	    -4.7	  1469.8	  1388.5	  2680.5	    35.8	   0.000	   1.216	   972.5	    40.0	  446278	   39.40	   39.40	   -1.09	   -1.31	    0.00	  19.131	  19.199	  25.268	  23.865	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 08:58:11	  -1.996	   0.000	  414.62	 1011.72	   16.81	  1933.7	    65.1	  -607.3	  -612.2	  2371.8	  -102.5	   0.000	   1.216	   971.7	    40.0	  445983	   55.10	   55.10	   -1.04	   -1.08	    0.00	  18.887	  18.868	  37.443	  36.391	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 08:58:32	  -0.004	   0.000	  414.70	 1011.73	   16.88	  1864.3	    38.5	  -163.9	  -168.4	  2123.8	   -78.9	   0.000	   1.215	   971.9	    40.0	  445897	   55.10	   55.10	   -1.05	   -1.11	    0.00	  18.864	  18.828	  37.345	  36.279	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 08:59:01	   4.000	   0.000	  414.60	 1011.72	   16.92	  1999.0	   -45.8	   624.8	   641.3	  1908.1	   -24.4	   0.000	   1.215	   971.6	    40.0	  445761	   55.10	   55.10	   -1.07	   -1.10	    0.00	  18.821	  18.786	  37.298	  36.269	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 08:59:32	   8.000	   0.000	  413.87	 1011.71	   16.92	  2574.8	    49.9	  1299.3	  1197.6	  1996.7	    -4.6	   0.000	   1.215	   969.9	    40.0	  445372	   55.10	   55.10	   -1.04	   -1.07	    0.00	  18.767	  18.765	  37.326	  36.407	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 09:00:09	  12.000	   0.000	  415.16	 1011.67	   16.89	  3783.4	    -8.4	  1501.1	  1425.7	  2569.0	    30.8	   0.000	   1.215	   973.0	    40.0	  446119	   55.09	   55.10	   -0.55	   -1.00	    0.00	  18.711	  18.732	  40.437	  36.786	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 09:00:54	  12.000	   0.000	  415.02	 1011.67	   16.89	  3261.9	   -70.6	  1608.7	  1547.0	  2131.8	    64.5	   0.000	   1.215	   972.6	    40.0	  446045	   78.69	   78.71	    1.30	    0.88	    0.00	  18.698	  18.747	  50.435	  48.476	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
