  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      64	 09:48:21	   7.996	   0.000	  415.09	 1011.68	   16.80	     8.9	    79.6	  2124.6	  1914.8	  -830.6	   -16.1	   0.000	   1.216	   972.8	    40.0	  446259	  122.98	  123.01	   12.07	   12.08	    0.00	  19.085	  19.990	  52.944	  50.897	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      65	 09:49:24	  -1.996	   0.000	  415.26	 1011.69	   16.88	  1890.3	    52.0	  -302.3	  -292.3	  1590.0	   -99.3	   0.000	   1.215	   973.2	    40.0	  446196	   39.40	   39.40	   -1.28	   -1.18	    0.00	  20.758	  22.726	  24.258	  23.730	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      66	 09:49:42	  -0.004	   0.000	  414.58	 1011.68	   16.95	  1872.5	     7.7	   118.5	   139.0	  1403.0	   -65.0	   0.000	   1.215	   971.6	    40.0	  445681	   39.40	   39.40	   -1.19	   -1.22	    0.00	  21.081	  22.896	  24.313	  23.768	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      67	 09:50:06	   4.000	   0.000	  413.62	 1011.66	   17.01	  2097.4	  -110.0	   853.3	   907.7	  1319.7	    13.5	   0.000	   1.215	   969.3	    40.0	  445041	   39.40	   39.40	   -1.19	   -1.23	    0.00	  21.281	  22.796	  24.366	  23.822	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      68	 09:50:29	   8.000	   0.000	  413.23	 1011.68	   17.02	  2752.4	    17.2	  1512.2	  1429.7	  1487.2	    10.2	   0.000	   1.215	   968.4	    39.9	  444815	   39.40	   39.40	   -1.26	   -1.19	    0.00	  21.289	  22.525	  24.306	  23.796	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      69	 09:51:15	  12.000	   0.000	  415.19	 1011.67	   17.00	  4113.4	   -39.5	  1700.9	  1639.2	  2150.0	    53.3	   0.000	   1.215	   973.0	    40.0	  445911	   39.40	   39.40	   -1.04	   -1.34	    0.00	  21.044	  21.802	  24.960	  23.587	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      70	 09:52:27	  -1.996	   0.000	  415.74	 1011.66	   17.12	  1451.8	    37.2	  -248.0	  -246.3	  1276.2	   -86.5	   0.000	   1.214	   974.3	    40.1	  445973	   78.70	   78.70	    0.10	   -0.01	    0.00	  20.647	  20.978	  54.930	  53.824	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      71	 09:52:51	  -0.004	   0.000	  414.76	 1011.68	   17.18	  1438.2	    -2.5	   183.1	   190.2	  1080.2	   -55.9	   0.000	   1.214	   972.0	    40.0	  445329	   78.70	   78.70	    0.07	    0.01	    0.00	  20.533	  20.785	  54.660	  53.606	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      72	 09:53:22	   4.000	   0.000	  414.46	 1011.67	   17.20	  1671.0	  -131.4	   933.8	   983.7	   977.9	    24.7	   0.000	   1.214	   971.3	    40.0	  445126	   78.70	   78.70	    0.09	   -0.02	    0.00	  20.384	  20.569	  54.616	  53.587	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
