  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      33	 09:21:03	  -2.000	   0.000	  414.55	 1011.64	   16.54	  1883.2	    11.9	   -22.0	     5.0	   879.9	   -73.8	   0.000	   1.217	   971.5	    40.0	  446461	   39.40	   39.40	   -1.11	   -1.09	    0.00	  19.028	  19.343	  25.631	  25.070	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 09:21:27	  -0.004	   0.000	  414.56	 1011.65	   16.68	  1920.2	   -32.2	   392.0	   425.0	   733.4	   -40.7	   0.000	   1.216	   971.5	    40.0	  446198	   39.40	   39.40	   -1.19	   -1.06	    0.00	  18.780	  19.088	  25.630	  25.076	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 09:21:55	   4.000	   0.000	  414.57	 1011.64	   16.76	  2255.5	  -102.8	  1134.8	  1175.5	   703.8	     4.1	   0.000	   1.216	   971.6	    40.0	  446045	   39.40	   39.40	   -1.16	   -1.08	    0.00	  18.585	  18.898	  25.632	  25.090	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      36	 09:22:30	   8.000	   0.000	  414.81	 1011.66	   16.78	  3008.2	   -21.8	  1748.3	  1671.5	   985.9	    34.4	   0.000	   1.216	   972.1	    40.0	  446138	   39.40	   39.40	   -1.17	   -1.14	    0.00	  18.422	  18.737	  25.519	  25.014	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      37	 09:23:25	  12.000	   0.000	  415.03	 1011.62	   16.78	  4457.6	   -73.7	  1934.0	  1880.1	  1664.5	    71.6	   0.000	   1.216	   972.6	    40.0	  446244	   39.40	   39.40	   -0.97	   -1.12	    0.00	  18.295	  18.587	  26.302	  24.769	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      38	 09:24:26	  -1.996	   0.000	  414.88	 1011.65	   16.89	  1819.1	    10.9	   -18.8	     6.0	   845.5	   -72.0	   0.000	   1.215	   972.3	    40.0	  445960	   55.10	   55.10	   -0.97	   -1.06	    0.00	  18.308	  18.548	  38.688	  37.698	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      39	 09:24:56	  -0.004	   0.000	  414.22	 1011.67	   16.97	  1847.7	   -25.0	   398.9	   423.8	   693.0	   -43.7	   0.000	   1.215	   970.7	    40.0	  445448	   55.10	   55.10	   -1.00	   -1.03	    0.00	  18.348	  18.564	  38.625	  37.635	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      40	 09:25:27	   4.000	   0.000	  415.77	 1011.65	   16.99	  2194.8	   -88.3	  1152.8	  1183.9	   658.2	    -3.8	   0.000	   1.215	   974.4	    40.1	  446237	   55.10	   55.10	   -1.00	   -1.10	    0.00	  18.373	  18.580	  38.538	  37.591	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 09:26:05	   8.000	   0.000	  415.06	 1011.66	   16.97	  2944.3	     3.6	  1773.8	  1682.7	   931.0	    20.2	   0.000	   1.215	   972.7	    40.0	  445891	   55.10	   55.10	   -0.95	   -1.02	    0.00	  18.384	  18.603	  38.631	  37.764	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 09:26:46	  12.000	   0.000	  413.98	 1011.67	   16.96	  4329.9	   -59.6	  1972.7	  1916.2	  1532.0	    58.6	   0.000	   1.215	   970.2	    40.0	  445333	   55.10	   55.10	   -0.42	   -0.94	    0.00	  18.401	  18.618	  42.445	  38.285	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 09:27:49	  -1.996	   0.000	  415.33	 1011.68	   17.01	  1450.0	    14.6	    40.5	    46.0	   562.1	   -71.8	   0.000	   1.215	   973.4	    40.0	  445962	   78.70	   78.70	    0.35	    0.06	    0.00	  18.488	  18.749	  46.237	  54.228	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 09:28:10	  -0.004	   0.000	  414.90	 1011.68	   17.09	  1488.5	   -21.6	   463.1	   472.8	   406.4	   -43.8	   0.000	   1.214	   972.3	    40.0	  445590	   78.70	   78.70	    0.10	   -0.17	    0.00	  18.539	  18.875	  45.896	  53.988	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 09:28:43	   4.000	   0.000	  414.55	 1011.68	   17.10	  1829.5	  -104.6	  1217.5	  1245.7	   360.0	     5.4	   0.000	   1.214	   971.5	    40.0	  445371	   78.69	   78.69	    0.29	   -0.02	    0.00	  18.586	  19.104	  45.850	  54.013	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 09:29:08	   8.000	   0.000	  413.36	 1011.70	   17.10	  2512.2	   -88.3	  1838.3	  1788.8	   565.0	    69.0	   0.000	   1.214	   968.7	    39.9	  444731	   78.68	   78.68	    0.41	    0.20	    0.00	  18.596	  19.271	  47.017	  55.015	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 09:29:46	  12.000	   0.000	  414.71	 1011.67	   17.06	  3835.4	   -87.4	  2115.4	  2055.0	  1042.7	    73.2	   0.000	   1.214	   971.9	    40.0	  445535	   78.69	   78.70	    1.31	    1.19	    0.00	  18.639	  19.509	  50.638	  48.558	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 09:31:18	  -1.996	   0.000	  415.22	 1011.70	   17.14	   294.7	  -121.5	   227.5	   266.7	  -402.9	    14.8	   0.000	   1.214	   973.1	    40.0	  445661	  103.00	  102.99	    5.02	    5.24	    0.00	  19.150	  20.619	  52.823	  49.715	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      49	 09:31:40	  -0.004	   0.000	  414.57	 1011.68	   17.21	   326.6	  -111.4	   672.4	   690.1	  -577.5	    11.8	   0.000	   1.214	   971.6	    40.0	  445162	  103.00	  103.01	    5.36	    4.98	    0.00	  19.461	  21.099	  52.837	  49.684	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      50	 09:32:08	   4.000	   0.000	  414.56	 1011.71	   17.24	   682.7	   -76.7	  1471.2	  1444.6	  -634.1	    -6.1	   0.000	   1.214	   971.5	    40.0	  445108	  103.00	  103.01	    5.65	    5.15	    0.00	  19.864	  21.684	  52.845	  49.729	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 09:32:43	   8.000	   0.000	  414.10	 1011.69	   17.19	  1420.3	   -30.9	  2102.9	  1989.0	  -398.5	    38.8	   0.000	   1.214	   970.5	    40.0	  444964	  103.00	  103.00	    5.94	    5.77	    0.00	  20.347	  22.336	  52.901	  49.896	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 09:33:33	  12.000	   0.000	  414.59	 1011.67	   17.16	  2892.8	    86.8	  2421.9	  2230.9	   143.9	   -24.7	   0.000	   1.214	   971.6	    40.0	  445276	  103.01	  103.01	    5.46	    5.66	    0.00	  21.036	  23.148	  53.512	  50.222	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      53	 09:35:22	  -1.996	   0.000	  104.33	 1011.71	   16.83	   171.7	   -39.0	    45.0	    58.9	   -45.2	     3.7	   0.000	   1.215	   243.4	    20.0	  223194	   51.80	   51.80	    0.70	    0.68	    0.00	  22.037	  23.596	  48.212	  47.210	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      54	 09:35:44	  -0.004	   0.000	  104.16	 1011.68	   16.80	   170.5	   -39.4	   153.8	   162.4	   -85.1	     7.3	   0.000	   1.216	   243.0	    20.0	  223027	   51.80	   51.80	    0.71	    0.69	    0.00	  21.970	  23.323	  48.189	  47.213	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 09:36:30	   4.000	   0.000	  104.72	 1011.70	   16.76	   265.9	   -21.3	   351.1	   336.3	   -47.0	     6.9	   0.000	   1.216	   244.3	    20.0	  223673	   51.80	   51.80	    0.70	    0.68	    0.00	  21.684	  22.701	  48.182	  47.201	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 09:37:07	   8.000	   0.000	  104.06	 1011.69	   16.68	   443.9	   -10.4	   489.8	   465.7	    72.1	     0.7	   0.000	   1.216	   242.8	    20.0	  223040	   51.80	   51.80	    0.72	    0.73	    0.00	  21.399	  22.218	  48.583	  47.464	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 09:37:57	  12.000	   0.000	  104.14	 1011.68	   16.63	   821.5	   -19.9	   534.9	   523.5	   362.2	     5.7	   0.000	   1.216	   242.9	    20.0	  223180	   51.78	   51.79	    0.81	    0.83	    0.00	  21.012	  21.648	  50.248	  48.727	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 09:38:52	  -1.979	   0.000	  104.40	 1011.66	   16.58	   504.4	   -12.1	    -8.4	     4.3	   224.8	   -14.4	   0.000	   1.216	   243.5	    20.0	  223498	   27.60	   27.60	   -0.18	   -0.18	    0.00	  20.584	  21.037	  20.126	  19.744	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      59	 09:39:11	  -0.004	   0.000	  104.23	 1011.66	   16.58	   501.5	   -27.3	    92.8	   108.3	   190.6	    -1.3	   0.000	   1.216	   243.2	    20.0	  223321	   27.60	   27.60	   -0.10	   -0.11	    0.00	  20.442	  20.832	  20.133	  19.737	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      60	 09:39:38	   4.000	   0.000	  104.67	 1011.67	   16.58	   592.0	   -31.4	   280.5	   281.8	   230.7	    12.6	   0.000	   1.216	   244.2	    20.0	  223792	   27.60	   27.60	   -0.14	   -0.15	    0.00	  20.220	  20.544	  20.134	  19.762	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      61	 09:40:06	   8.000	   0.000	  104.95	 1011.66	   16.55	   777.6	   -17.2	   415.1	   403.1	   365.1	     4.5	   0.000	   1.217	   244.8	    20.1	  224120	   27.60	   27.60	   -0.13	   -0.15	    0.00	  20.003	  20.274	  20.157	  19.772	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      62	 09:40:56	  12.000	   0.000	  104.52	 1011.66	   16.49	  1152.8	   -53.1	   436.4	   453.7	   681.5	    27.1	   0.000	   1.217	   243.8	    20.0	  223713	   27.60	   27.60	   -0.03	   -0.16	    0.00	  19.633	  19.828	  21.784	  19.932	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      63	 09:41:57	   8.004	   0.000	  415.35	 1011.63	   16.71	  2544.7	  -100.5	  1845.1	  1799.0	   577.9	    75.5	   0.000	   1.216	   973.4	    40.0	  446563	   78.71	   78.72	    0.74	    0.15	    0.00	  19.208	  19.541	  40.449	  39.557	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
