pair,run_a,run_b,variable,value_run_a,value_run_b,mean_value,variance,sigma
17-32,17,32,Alpha,8.004,8.001,8.0025,4.5000000000003415e-06,0.002121320343559723
17-32,17,32,Beta,0.0,0.0,0.0,0.0,0.0
17-32,17,32,CD,0.08202,0.081973,0.0819965,1.1044999999996001e-09,3.3234018715761716e-05
17-32,17,32,CL,0.8893,0.8889,0.8891,7.999999999998237e-08,0.00028284271247458785
17-32,17,32,Cm_p_qc,0.18922,0.18854,0.18888,2.3119999999999058e-07,0.0004808326112068425
17-32,17,32,Cm_pitch,-0.03577,-0.03634,-0.036055000000000004,1.6244999999999664e-07,0.0004030508652763279
17-32,17,32,Cm_roll,-0.0034,-0.00336,-0.00338,7.999999999999869e-10,2.828427124746167e-05
17-32,17,32,Cm_yaw,-0.00145,-0.0015,-0.001475,1.2500000000000066e-09,3.535533905932747e-05
17-32,17,32,Cn,0.8921,0.8916,0.89185,1.2500000000002797e-07,0.00035355339059331333
17-32,17,32,Cside,0.000919,0.001167,0.001043,3.0752000000000016e-08,0.00017536248173426384
17-32,17,32,Ct,-0.042608,-0.042555,-0.0425815,1.404499999999867e-09,3.7476659402885246e-05
17-32,17,32,Cyaw,0.00092,0.00117,0.001045,3.1250000000000005e-08,0.0001767766952966369
17-32,17,32,M,0.118,0.118,0.118,0.0,0.0
17-32,17,32,Re,348400.0,348500.0,348450.0,5000.0,70.71067811865476
17-32,17,32,V,40.23,40.18,40.205,0.001249999999999858,0.03535533905932537
17-32,17,32,V_nominal,40.0,40.0,40.0,0.0,0.0
17-32,17,32,advance_ratio_J,2.5156579855726418,2.5125313910094147,2.5140946882910282,4.887796781400501e-06,0.002210836217678845
17-32,17,32,advance_ratio_nominal_J,2.501275650581797,2.501275650581797,2.501275650581797,0.0,0.0
17-32,17,32,prop_speed_hz,78.7,78.7,78.7,0.0,0.0
63-46,63,46,Alpha,8.004,8.0,8.001999999999999,7.999999999998238e-06,0.0028284271247458787
63-46,63,46,Beta,0.0,0.0,0.0,0.0,0.0
63-46,63,46,CD,0.096786,0.095968,0.09637699999999999,3.345619999999994e-07,0.0005784133470105953
63-46,63,46,CL,1.0322,1.0313,1.0317500000000002,4.049999999999108e-07,0.0006363961030678226
63-46,63,46,Cm_p_qc,-0.2454,-0.24423,-0.244815,6.844500000000052e-07,0.0008273149339882637
63-46,63,46,Cm_pitch,-0.50175,-0.50034,-0.501045,9.940500000000316e-07,0.000997020561473048
63-46,63,46,Cm_roll,-0.00366,-0.00357,-0.003615,4.050000000000021e-09,6.363961030678945e-05
63-46,63,46,Cm_yaw,-0.00191,-0.00177,-0.00184,9.79999999999999e-09,9.89949493661166e-05
63-46,63,46,Cn,1.0356,1.0346,1.0351,5.000000000001119e-07,0.0007071067811866267
63-46,63,46,Cside,0.002427,0.001934,0.0021805,1.2152449999999998e-07,0.0003486036431249679
63-46,63,46,Ct,-0.047881,-0.04849,-0.0481855,1.8544049999999903e-07,0.00043062802974260634
63-46,63,46,Cyaw,0.00243,0.00193,0.00218,1.249999999999999e-07,0.0003535533905932736
63-46,63,46,M,0.118,0.118,0.118,0.0,0.0
63-46,63,46,Re,348800.0,347300.0,348050.0,1125000.0,1060.6601717798212
63-46,63,46,V,40.22,40.15,40.185,0.00245000000000002,0.049497474683058526
63-46,63,46,V_nominal,40.0,40.0,40.0,0.0,0.0
63-46,63,46,advance_ratio_J,2.5150326666599967,2.510655434271478,2.5128440504657377,9.580081691547701e-06,0.0030951707047508223
63-46,63,46,advance_ratio_nominal_J,2.501275650581797,2.501275650581797,2.501275650581797,0.0,0.0
63-46,63,46,prop_speed_hz,78.7,78.7,78.7,0.0,0.0
