  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  12.000	   0.000	  1.1040	0.086247	-0.00285	 0.02989	-0.145180	  1.0978	-0.002853	-0.00632	-0.24457	-0.00152	0.086247	0.002853	1.104034	-0.00604	-0.25860	-0.00021	   20.71	    0.64	  249.85	   -1.90	   -9.20	   -0.07	  414.99	 1011.71	   16.29	   1.218	   972.5	   39.97	3.475E+5	   0.117
       2	   8.004	   0.000	  0.9087	0.036660	 0.00100	 0.16450	-0.090230	  0.9050	0.001002	-0.00533	-0.06174	-0.00182	0.036660	-0.001002	0.908719	-0.00570	-0.06771	-0.00109	    9.85	   -0.23	  207.86	   -1.80	   -2.22	   -0.34	  416.61	 1011.74	   16.38	   1.217	   976.4	   40.05	3.480E+5	   0.117
       3	   4.000	   0.000	  0.5438	0.013920	 0.00393	 0.24647	-0.024050	  0.5435	0.003925	-0.00396	 0.11061	-0.00120	0.013920	-0.003925	0.543822	-0.00467	 0.10834	-0.00093	    4.88	   -0.89	  126.36	   -1.49	    4.51	   -0.29	  419.45	 1011.78	   16.44	   1.217	   983.1	   40.19	3.491E+5	   0.118
       4	   0.000	   0.000	  0.1266	0.006072	 0.00865	 0.27878	0.006072	  0.1266	0.008650	-0.00224	 0.24712	-0.00083	0.006072	-0.008650	0.126641	-0.00364	 0.24613	-0.00083	    3.38	   -1.96	   30.66	   -1.15	    9.78	   -0.26	  418.11	 1011.73	   16.49	   1.217	   979.9	   40.13	3.485E+5	   0.118
       5	  -2.000	   0.000	 -0.0928	0.007705	 0.00882	 0.30090	0.004462	 -0.0930	0.008819	-0.00172	 0.32416	-0.00053	0.007705	-0.008819	-0.092812	-0.00314	 0.32290	-0.00059	    3.86	   -1.99	  -19.74	   -0.99	   12.70	   -0.19	  417.30	 1011.74	   16.57	   1.217	   978.0	   40.10	3.480E+5	   0.118
       6	  -2.000	   0.000	 -0.0759	0.071951	 0.00072	 0.29765	0.069259	 -0.0783	0.000723	-0.00108	 0.31724	 0.00220	0.071951	-0.000723	-0.075883	-0.00128	 0.30553	 0.00216	   18.28	   -0.16	  -15.83	   -0.40	   11.99	    0.68	  415.12	 1011.73	   16.70	   1.216	   972.9	   40.00	3.469E+5	   0.117
       7	  -0.004	   0.000	  0.1336	0.070477	 0.00168	 0.28447	0.070487	  0.1336	0.001679	-0.00133	 0.25108	 0.00162	0.070477	-0.001679	0.133582	-0.00160	 0.23961	 0.00162	   17.81	   -0.38	   31.98	   -0.50	    9.46	    0.51	  414.87	 1011.72	   16.73	   1.216	   972.3	   39.99	3.468E+5	   0.117
       8	   4.000	   0.000	  0.5402	0.077789	 0.00429	 0.26879	0.039913	  0.5444	0.004289	-0.00177	 0.13270	 0.00041	0.077789	-0.004289	0.540248	-0.00243	 0.12004	 0.00053	   19.09	   -0.96	  123.66	   -0.76	    4.87	    0.17	  413.17	 1011.73	   16.76	   1.216	   968.3	   39.91	3.460E+5	   0.117
       9	   8.000	   0.000	  0.8842	0.101965	-0.00320	 0.20809	-0.022088	  0.8898	-0.003205	-0.00312	-0.01436	-0.00039	0.101965	0.003205	0.884211	-0.00262	-0.03095	 0.00004	   24.46	    0.72	  201.35	   -0.82	   -0.85	    0.01	  414.60	 1011.76	   16.78	   1.216	   971.6	   39.98	3.466E+5	   0.117
      10	  12.000	   0.000	  1.0641	0.154799	-0.00211	 0.08870	-0.069833	  1.0731	-0.002108	-0.00314	-0.17957	-0.00125	0.154799	0.002108	1.064145	-0.00300	-0.20476	-0.00061	   36.11	    0.47	  240.87	   -0.94	   -7.20	   -0.19	  414.96	 1011.75	   16.76	   1.216	   972.5	   40.00	3.467E+5	   0.117
      11	  -1.996	   0.000	 -0.0782	0.069379	 0.00115	 0.29890	0.066613	 -0.0806	0.001154	-0.00100	 0.31904	 0.00208	0.069379	-0.001154	-0.078200	-0.00126	 0.30775	 0.00205	   17.68	   -0.26	  -16.33	   -0.40	   12.06	    0.64	  414.62	 1011.72	   16.81	   1.216	   971.7	   39.99	3.465E+5	   0.117
      12	  -0.004	   0.000	  0.1326	0.067696	 0.00134	 0.28415	0.067706	  0.1326	0.001337	-0.00135	 0.25100	 0.00167	0.067696	-0.001337	0.132626	-0.00157	 0.23998	 0.00167	   17.18	   -0.30	   31.75	   -0.49	    9.47	    0.52	  414.70	 1011.73	   16.88	   1.215	   971.9	   39.99	3.464E+5	   0.117
      13	   4.000	   0.000	  0.5415	0.074982	 0.00410	 0.26501	0.037023	  0.5455	0.004104	-0.00189	 0.12864	 0.00049	0.074982	-0.004104	0.541542	-0.00252	 0.11644	 0.00062	   18.53	   -0.92	  124.38	   -0.79	    4.76	    0.20	  414.60	 1011.72	   16.92	   1.215	   971.6	   39.99	3.463E+5	   0.117
      14	   8.000	   0.000	  0.8883	0.099425	-0.00386	 0.20356	-0.025179	  0.8935	-0.003860	-0.00327	-0.01983	-0.00023	0.099425	0.003860	0.888350	-0.00264	-0.03600	 0.00023	   23.84	    0.86	  201.93	   -0.83	   -1.03	    0.07	  413.87	 1011.71	   16.92	   1.215	   969.9	   39.96	3.460E+5	   0.117
      15	  12.000	   0.000	  1.0701	0.149556	-0.00157	 0.08311	-0.076202	  1.0778	-0.001569	-0.00316	-0.18635	-0.00116	0.149556	0.001569	1.070114	-0.00309	-0.21068	-0.00051	   34.95	    0.35	  242.33	   -0.97	   -7.42	   -0.16	  415.16	 1011.67	   16.89	   1.215	   973.0	   40.02	3.466E+5	   0.117
      16	  12.000	   0.000	  1.0851	0.128253	 0.00100	 0.06549	-0.100161	  1.0881	0.001005	-0.00376	-0.20653	-0.00196	0.128253	-0.001005	1.085122	-0.00427	-0.22739	-0.00121	   30.15	   -0.23	  245.62	   -1.34	   -8.04	   -0.38	  415.02	 1011.67	   16.89	   1.215	   972.6	   40.01	3.466E+5	   0.117
      17	   8.004	   0.000	  0.8987	0.082883	 0.00093	 0.18922	-0.043056	  0.9015	0.000928	-0.00343	-0.03614	-0.00147	0.082883	-0.000928	0.898665	-0.00376	-0.04963	-0.00100	   20.20	   -0.21	  204.91	   -1.18	   -1.54	   -0.31	  415.23	 1011.68	   16.90	   1.215	   973.1	   40.02	3.466E+5	   0.117
      18	   8.004	   0.000	  0.9185	-0.011542	-0.00279	 0.14041	-0.139320	  0.9079	-0.002791	-0.00728	-0.08657	-0.00133	-0.011542	0.002791	0.918472	-0.00695	-0.08469	-0.00032	   -1.02	    0.63	  208.81	   -2.18	   -2.83	   -0.10	  414.14	 1011.68	   16.92	   1.215	   970.5	   39.97	3.461E+5	   0.117
      19	   4.000	   0.000	  0.5430	0.061758	-0.00074	 0.25826	0.023732	  0.5459	-0.000736	-0.00285	 0.12177	 0.00000	0.061758	0.000736	0.542958	-0.00272	 0.11172	 0.00020	   15.57	    0.17	  124.77	   -0.86	    4.59	    0.06	  414.84	 1011.68	   16.97	   1.215	   972.2	   40.01	3.464E+5	   0.117
      20	   0.000	   0.000	  0.1309	0.053248	 0.00244	 0.28293	0.053248	  0.1309	0.002441	-0.00168	 0.25021	 0.00128	0.053248	-0.002441	0.130887	-0.00207	 0.24155	 0.00128	   14.02	   -0.55	   31.56	   -0.66	    9.59	    0.40	  417.22	 1011.69	   17.04	   1.215	   977.8	   40.13	3.473E+5	   0.118
      21	  -2.000	   0.000	 -0.0854	0.053851	 0.00159	 0.30058	0.050837	 -0.0873	0.001594	-0.00141	 0.32240	 0.00191	0.053851	-0.001594	-0.085443	-0.00174	 0.31364	 0.00186	   14.19	   -0.36	  -17.95	   -0.55	   12.27	    0.58	  414.57	 1011.73	   17.10	   1.214	   971.6	   40.00	3.461E+5	   0.117
      22	  11.995	   0.000	  1.1295	0.105578	 0.00319	 0.05732	-0.131487	  1.1268	0.003193	-0.00448	-0.22439	-0.00126	0.105578	-0.003193	1.129550	-0.00517	-0.24157	-0.00034	    6.27	   -0.18	   63.97	   -0.41	   -2.14	   -0.03	  104.35	 1011.66	   16.66	   1.216	   243.4	   20.01	1.736E+5	   0.059
      23	   8.004	   0.000	  0.8913	0.053662	 0.00299	 0.18637	-0.070966	  0.8901	0.002987	-0.00545	-0.03615	-0.00151	0.053662	-0.002987	0.891289	-0.00609	-0.04488	-0.00076	    3.42	   -0.17	   50.94	   -0.48	   -0.34	   -0.06	  104.54	 1011.66	   16.59	   1.216	   243.9	   20.03	1.738E+5	   0.059
      24	   4.000	   0.000	  0.5386	0.031838	 0.00314	 0.25791	-0.005814	  0.5396	0.003141	-0.00440	 0.12302	-0.00078	0.031838	-0.003141	0.538649	-0.00496	 0.11784	-0.00048	    2.22	   -0.18	   31.12	   -0.39	    1.21	   -0.04	  104.77	 1011.67	   16.52	   1.217	   244.4	   20.04	1.740E+5	   0.059
