  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      64	   7.996	   0.000	  0.9975	-0.005946	-0.00527	-0.10801	-0.144643	  0.9870	-0.005271	-0.00766	-0.35475	-0.00058	-0.005946	0.005271	0.997485	-0.00681	-0.35379	 0.00049	    0.24	    1.18	  227.05	   -2.14	  -12.82	    0.15	  415.09	 1011.68	   16.80	   1.216	   972.8	   40.01	3.467E+5	   0.117
      65	  -1.996	   0.000	  0.0070	0.067475	 0.00193	 0.05798	0.067677	  0.0046	0.001926	-0.00060	 0.05683	 0.00200	0.067475	-0.001926	0.006971	-0.00098	 0.04585	 0.00198	   17.28	   -0.43	    2.79	   -0.31	    2.36	    0.62	  415.26	 1011.69	   16.88	   1.215	   973.2	   40.02	3.467E+5	   0.117
      66	  -0.004	   0.000	  0.2150	0.068054	 0.00277	 0.05088	0.068069	  0.2149	0.002774	-0.00083	-0.00285	 0.00138	0.068054	-0.002774	0.214953	-0.00128	-0.01393	 0.00138	   17.26	   -0.62	   50.22	   -0.40	    0.07	    0.43	  414.58	 1011.68	   16.95	   1.215	   971.6	   39.99	3.463E+5	   0.117
      67	   4.000	   0.000	  0.6139	0.079223	 0.00662	 0.05228	0.036208	  0.6179	0.006616	-0.00129	-0.10220	-0.00025	0.079223	-0.006616	0.613882	-0.00238	-0.11509	-0.00016	   19.43	   -1.48	  140.28	   -0.75	   -3.81	   -0.05	  413.62	 1011.66	   17.01	   1.215	   969.3	   39.95	3.458E+5	   0.117
      68	   8.000	   0.000	  0.9559	0.106893	-0.00235	-0.00341	-0.027177	  0.9614	-0.002346	-0.00307	-0.24377	-0.00050	0.106893	0.002346	0.955855	-0.00273	-0.26116	-0.00008	   25.48	    0.52	  216.71	   -0.85	   -9.34	   -0.02	  413.23	 1011.68	   17.02	   1.215	   968.4	   39.93	3.456E+5	   0.117
      69	  12.000	   0.000	  1.1371	0.163050	-0.00059	-0.12980	-0.076920	  1.1461	-0.000589	-0.00289	-0.41633	-0.00155	0.163050	0.000589	1.137055	-0.00306	-0.44286	-0.00098	   37.98	    0.13	  257.39	   -0.96	  -16.04	   -0.31	  415.19	 1011.67	   17.00	   1.215	   973.0	   40.03	3.465E+5	   0.117
      70	  -1.996	   0.000	  0.0000	0.049464	 0.00228	 0.05817	0.049435	 -0.0017	0.002279	-0.00121	 0.05860	 0.00176	0.049464	-0.002279	0.000012	-0.00164	 0.05055	 0.00172	   13.25	   -0.51	    1.23	   -0.52	    2.54	    0.54	  415.74	 1011.66	   17.12	   1.214	   974.3	   40.06	3.465E+5	   0.117
      71	  -0.004	   0.000	  0.2111	0.050223	 0.00301	 0.04755	0.050238	  0.2111	0.003006	-0.00161	-0.00524	 0.00120	0.050223	-0.003006	0.211145	-0.00210	-0.01341	 0.00120	   13.26	   -0.67	   49.39	   -0.66	    0.09	    0.38	  414.76	 1011.68	   17.18	   1.214	   972.0	   40.02	3.460E+5	   0.117
      72	   4.000	   0.000	  0.6179	0.061559	 0.00751	 0.04215	0.018304	  0.6207	0.007513	-0.00200	-0.11303	-0.00053	0.061559	-0.007513	0.617941	-0.00325	-0.12305	-0.00039	   15.51	   -1.69	  141.48	   -1.02	   -4.11	   -0.12	  414.46	 1011.67	   17.20	   1.214	   971.3	   40.01	3.458E+5	   0.117
