  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      33	  -2.000	   0.000	  0.0871	0.067310	 0.00340	-0.16816	0.070310	  0.0847	0.003395	-0.00052	-0.18934	 0.00148	0.067310	-0.003395	0.087129	-0.00112	-0.20029	 0.00146	   17.21	   -0.76	   20.78	   -0.35	   -6.76	    0.46	  414.55	 1011.64	   16.54	   1.217	   971.5	   39.96	3.469E+5	   0.117
      34	  -0.004	   0.000	  0.2946	0.070008	 0.00429	-0.17533	0.070028	  0.2946	0.004293	-0.00099	-0.24897	 0.00088	0.070008	-0.004293	0.294574	-0.00169	-0.26036	 0.00088	   17.70	   -0.96	   68.09	   -0.53	   -9.06	    0.28	  414.56	 1011.65	   16.68	   1.216	   971.5	   39.97	3.467E+5	   0.117
      35	   4.000	   0.000	  0.6951	0.085496	 0.00661	-0.18255	0.036799	  0.6994	0.006613	-0.00192	-0.35740	-0.00010	0.085496	-0.006613	0.695130	-0.00300	-0.37131	 0.00003	   20.89	   -1.48	  158.84	   -0.94	  -13.30	    0.01	  414.57	 1011.64	   16.76	   1.216	   971.6	   39.98	3.466E+5	   0.117
      36	   8.000	   0.000	  1.0278	0.116931	-0.00089	-0.22443	-0.027256	  1.0341	-0.000885	-0.00348	-0.48296	-0.00106	0.116931	0.000885	1.027843	-0.00345	-0.50198	-0.00058	   27.83	    0.20	  233.71	   -1.09	  -18.30	   -0.18	  414.81	 1011.66	   16.78	   1.216	   972.1	   39.99	3.466E+5	   0.117
      37	  12.000	   0.000	  1.2138	0.177210	 0.00085	-0.36738	-0.079025	  1.2241	0.000846	-0.00318	-0.67341	-0.00199	0.177210	-0.000846	1.213800	-0.00368	-0.70224	-0.00135	   41.15	   -0.19	  274.53	   -1.16	  -25.65	   -0.43	  415.03	 1011.62	   16.78	   1.216	   972.6	   40.00	3.467E+5	   0.117
      38	  -1.996	   0.000	  0.0844	0.064627	 0.00336	-0.16441	0.067528	  0.0821	0.003364	-0.00061	-0.18494	 0.00144	0.064627	-0.003364	0.084418	-0.00120	-0.19546	 0.00142	   16.62	   -0.76	   20.19	   -0.38	   -6.58	    0.45	  414.88	 1011.65	   16.89	   1.215	   972.3	   40.00	3.465E+5	   0.117
      39	  -0.004	   0.000	  0.2919	0.067101	 0.00395	-0.17185	0.067121	  0.2919	0.003949	-0.00120	-0.24484	 0.00094	0.067101	-0.003949	0.291945	-0.00184	-0.25575	 0.00094	   17.03	   -0.89	   67.44	   -0.58	   -8.88	    0.30	  414.22	 1011.67	   16.97	   1.215	   970.7	   39.98	3.461E+5	   0.117
      40	   4.000	   0.000	  0.6953	0.082744	 0.00600	-0.18203	0.034040	  0.6994	0.005997	-0.00207	-0.35687	 0.00005	0.082744	-0.005997	0.695314	-0.00304	-0.37034	 0.00020	   20.33	   -1.35	  159.34	   -0.96	  -13.31	    0.06	  415.77	 1011.65	   16.99	   1.215	   974.4	   40.05	3.467E+5	   0.117
      41	   8.000	   0.000	  1.0312	0.114242	-0.00191	-0.22633	-0.030387	  1.0371	-0.001910	-0.00364	-0.48560	-0.00079	0.114242	0.001910	1.031214	-0.00341	-0.50419	-0.00028	   27.24	    0.43	  234.61	   -1.07	  -18.39	   -0.09	  415.06	 1011.66	   16.97	   1.215	   972.7	   40.02	3.464E+5	   0.117
      42	  12.000	   0.000	  1.2229	0.172436	 0.00056	-0.38095	-0.085577	  1.2320	0.000560	-0.00319	-0.68894	-0.00173	0.172436	-0.000560	1.222854	-0.00359	-0.71700	-0.00109	   39.98	   -0.13	  275.86	   -1.13	  -26.13	   -0.34	  413.98	 1011.67	   16.96	   1.215	   970.2	   39.96	3.460E+5	   0.117
