alpha_key,J_key,Cm_m10,Cm_p10,alpha_corr_plot,control_power
-2,1.9,0.3676349356,-0.2755084246,-1.992357437,0.6431433602000001
0,1.9,0.2641690636,-0.3841714071,0.163905321475,0.6483404707
4,1.9,0.07341314591,-0.589986394,4.472234369,0.66339953991
8,1.9,-0.1592380782,-0.8153971004,8.7343355395,0.6561590222
12,1.9,-0.3907281206,-1.151037035,12.87078468,0.7603089144000001
-2,2.5,0.3387234833,-0.2442517447,-1.9921767645,0.582975228
0,2.5,0.2413759277,-0.3450612967,0.159575611005,0.5864372244
4,2.5,0.06166484151,-0.538483422,4.4597344375,0.60014826351
8,2.5,-0.15145011095,-0.7575358114499999,8.713782696,0.6060857005
12,2.5,-0.3641501649,-1.065236002,12.840807005,0.7010858370999999
-2,3.6,0.3258209894,-0.2456566864,-1.986258328,0.5714776758
0,3.6,0.2346359608,-0.3414837472,0.157900621735,0.576119708
4,3.6,0.06254445953,-0.5288260226,4.455805515,0.59137048213
8,3.6,-0.1401950012,-0.7366813227,8.700159509,0.5964863215
12,3.6,-0.3494457186,-1.014922113,12.822278924999999,0.6654763944
-2,5.0,0.3222616187,-0.2524109513,-1.9884744975,0.5746725699999999
0,5.0,0.2331617475,-0.3479237019,0.15908600454,0.5810854494
4,5.0,0.06560163682,-0.5304645327,4.4549538715,0.59606616952
8,5.0,-0.1351404051,-0.7339836803,8.6968690325,0.5988432752
12,5.0,-0.3437507251,-0.9965002025,12.81549322,0.6527494774
