Corrected aerodynamic data exported from BAL structure (combined file)
run	time	AoA_deg	AoA_corr_deg	AoS_deg	elevator_deflection_deg	J_M1	J_M2	J_avg	V_mps	V_corr_mps	q_Pa	q_corr_Pa	rho_kgpm3	Re	Re_corr	CL	CL_corr	CD	CD0	CDinduced	CDS	CD_corr	CMpitch	CMpitch_corr	CMpitch25c	CMpitch25c_corr	CL0_alphaFit	CLalpha_used_1pdeg	epsilon_total
64	09:48:21	7.996	8.845327133	0	0	1.600979033	1.600588582	1.600783807	40.00772317	39.46414443	972.7924192	946.5376389	1.215521095	446225.4915	440162.6948	1.074738366	1.104549141	0.001120655236	0.04126	0.07991877827	-0.120058123	0.0144634021	-0.3680534481	-0.4916768017	-0.3680534481	-0.4916768017	0.2498	0.08635	-0.01358684524
65	09:49:24	-1.996	-1.985987303	0	0	4.998863358	4.998863358	4.998863358	40.02129995	40.32662775	973.1938816	988.0997753	1.215197825	446162.7152	449566.5496	0.01322094685	0.0130215034	0.08175851458	0.04126	1.20939578e-05	0.04048642062	0.08052700364	0.04465491965	0.04264424212	0.04465491965	0.04264424212	0.2498	0.08635	0.007629132542
66	09:49:42	-0.004	0.1765876189	0	0	4.995364831	4.995364831	4.995364831	39.99329047	40.27699114	971.5880479	985.4212599	1.214892594	445655.0434	448816.3895	0.2381978182	0.2348540291	0.08166809152	0.04126191222	0.003925692878	0.03648048642	0.08112345416	-0.02100827738	-0.04482802584	-0.02100827738	-0.04482802584	0.2497983226	0.08635023483	0.007093706569
67	09:50:06	4	4.507374277	0	0	4.990098916	4.990098916	4.990098916	39.95113113	40.14889253	969.3210613	978.9412515	1.214617363	445013.0082	447215.8594	0.666388463	0.6598397719	0.09231807	0.04127392763	0.03072412746	0.02032001491	0.0961613462	-0.1359524528	-0.2023683331	-0.1359524528	-0.2023683331	0.2497877828	0.08635171041	0.004950082635
68	09:50:29	8	8.787456698	0	0	4.987764484	4.987764484	4.987764484	39.93244148	40.05653773	968.4001223	974.4283814	1.214599515	444786.4003	446168.643	1.030461603	1.024086697	0.1211458742	0.04127925418	0.07346510271	0.006401517292	0.1318392989	-0.3039314783	-0.4072037402	-0.3039314783	-0.4072037402	0.2497831104	0.08635236455	0.003107654888
69	09:51:15	12	12.92359358	0	0	4.999522146	4.999522146	4.999522146	40.02657426	40.30734677	973.0285732	986.7273662	1.214671231	445885.0568	449012.7855	1.21804274	1.201132582	0.1797524219	0.04126	0.1026522294	0.03584019255	0.192998336	-0.5117264803	-0.6279536741	-0.5117264803	-0.6279536741	0.2498	0.08635	0.007014652565
70	09:52:27	-1.996	-1.991574799	0	0	2.505137631	2.505137631	2.505137631	40.06176017	40.26621176	974.3274371	984.2975982	1.214157074	445945.0778	448220.9184	0.005813859419	0.005754969592	0.06259821972	0.04126	2.338688515e-06	0.02133588103	0.06196451032	0.05503993523	0.05389150736	0.05503993523	0.05389150736	0.2498	0.08635	0.005103410064
71	09:52:51	-0.004	0.1743919696	0	0	2.50239449	2.50239449	2.50239449	40.01789231	40.20228021	972.0131173	980.99112	1.213930153	445302.1297	447353.9201	0.234141445	0.2319985892	0.06270461442	0.04126	0.003793149145	0.01765146527	0.06271800694	-0.01507393997	-0.03875744982	-0.01507393997	-0.03875744982	0.2498	0.08635	0.004607636617
72	09:53:22	4	4.513235709	0	0	2.501580917	2.501580917	2.501580917	40.00488176	40.10186571	971.3046699	976.0198517	1.213834537	445098.513	446177.5666	0.6707027435	0.667462558	0.07353199514	0.04126	0.03112457975	0.00114741539	0.07803765247	-0.1390514624	-0.2069143272	-0.1390514624	-0.2069143272	0.2498	0.08635	0.002424302774
73	09:53:46	8	8.80200326	0	0	2.500085452	2.500085452	2.500085452	39.97588636	39.9796426	969.9114141	970.0936935	1.213852346	444794.3129	444836.107	1.043200504	1.043004488	0.1001181915	0.04126687239	0.07529561311	-0.01644429397	0.111968938	-0.3138140572	-0.420850107	-0.3138140572	-0.420850107	0.2497939716	0.08635084398	9.396259297e-05
74	09:54:32	12	12.95103742	0	0	2.499512488	2.496656265	2.498084377	39.95656676	40.06878852	969.1793774	974.6310844	1.214109425	444732.9046	445981.9785	1.2437805	1.236823276	0.1524208507	0.04127237847	0.1070321347	0.004116337509	0.1682590815	-0.5410805547	-0.6650501464	-0.5410805547	-0.6650501464	0.2497891417	0.08635152016	0.002808593558
75	09:56:18	11.996	12.96297403	0	0	3.567934666	3.567934666	3.567934666	20.01011935	19.98515164	243.3203005	242.7134717	1.215371315	223137.1309	222858.7107	1.25441256	1.257548825	0.188723112	0.04747658978	0.1131173015	0.02812922071	0.2064498341	-0.5068222207	-0.6372176088	-0.5068222207	-0.6372176088	0.2470003036	0.08619051609	-0.001247753758
76	09:56:45	8.004	8.797490309	0	0	3.566802253	3.566802253	3.566802253	20.00376841	19.91657209	243.2269897	241.1111609	1.215676788	223164.1682	222191.3968	1.022956626	1.031933402	0.1274702775	0.04747873005	0.07522728489	0.004764262587	0.140207785	-0.2905334576	-0.3990444754	-0.2905334576	-0.3990444754	0.2470001131	0.08619019219	-0.004358994593
77	09:57:24	4	4.510915821	0	0	3.570303016	3.570303016	3.570303016	20.02340181	19.98048028	243.763529	242.7196015	1.215970389	223479.0141	222999.9716	0.66160003	0.6644455458	0.1002324272	0.04747211359	0.03146391204	0.0212964016	0.1054805713	-0.1256319458	-0.1943991954	-0.1256319458	-0.1943991954	0.2470007021	0.08619119349	-0.002143568306
78	09:57:48	0	0.1769514231	0	0	3.572185248	3.572185248	3.572185248	20.03395797	20.02950726	244.0434645	243.935044	1.216084241	223635.7249	223586.0424	0.2300229228	0.2301251598	0.08694895986	0.04746855616	0.00380314436	0.03567725934	0.08756542274	-0.01825339967	-0.04189133076	-0.01825339967	-0.04189133076	0.2470010187	0.08619173186	-0.0002221582364
79	09:58:18	-2	-1.992576775	0	0	3.575939393	3.575939393	3.575939393	20.05501242	20.05648821	244.5566831	244.592677	1.216084241	223870.7521	223887.2262	0.009655318661	0.009653897797	0.08526282441	0.04746146082	6.70026053e-06	0.03779466333	0.08525129412	0.04825995325	0.04726156557	0.04825995325	0.04726156557	0.2470016504	0.08619280563	7.358743949e-05
80	09:59:12	-2	-1.995544315	0	0	1.904772043	1.904772043	1.904772043	20.04917338	19.89720789	244.416714	240.7255752	1.216096262	223807.7842	222111.4021	0.005707104759	0.005794614012	0.02776950689	0.04746342857	2.341002266e-06	-0.01969626269	0.02819567388	0.05212328394	0.05232750534	0.05212328394	0.05232750534	0.2470014752	0.08619250784	-0.007579638561
81	09:59:30	-0.005	0.177903714	0	0	1.90348021	1.90348021	1.90348021	20.03557585	19.87195041	244.0901206	240.1195568	1.216120303	223660.4173	221833.8397	0.2339967895	0.2378661086	0.02736879197	0.04746801094	0.003935656056	-0.02403487503	0.02843870042	-0.01848067394	-0.0432109437	-0.01848067394	-0.0432109437	0.2470010673	0.08619181437	-0.008166745096
82	09:59:56	4	4.531104985	0	0	1.895896956	1.895896956	1.895896956	19.95575634	19.74790806	242.1539257	237.1359085	1.216144345	222773.7829	220453.4926	0.6763885225	0.690701535	0.03987828049	0.04748	0.03288977804	-0.04049149755	0.04592740966	-0.1434214838	-0.2173793729	-0.1434214838	-0.2173793729	0.247	0.08619	-0.01041545464
83	10:00:20	8	8.825073898	0	0	1.899587983	1.899587983	1.899587983	19.99460721	19.73977732	243.133679	236.975728	1.216324244	223264.4173	220418.9277	1.045831301	1.073007831	0.06789351979	0.04748	0.07863063006	-0.05821711027	0.08222003837	-0.3201872676	-0.4386866392	-0.3201872676	-0.4386866392	0.247	0.08619	-0.0127449311
84	10:00:58	12	13.01823674	0	0	1.895927242	1.896293463	1.896110352	19.94837008	19.74095838	242.0606167	237.0531704	1.216576149	222830.0552	220513.1962	1.296822203	1.32421592	0.1280462328	0.04748	0.1209008512	-0.04033461841	0.1498839032	-0.5656959527	-0.7136193532	-0.5656959527	-0.7136193532	0.247	0.08619	-0.01039742584
85	10:07:09	-1.996	-1.984313738	0	0	4.463911771	4.463911771	4.463911771	19.95547118	19.95926202	242.3405441	242.4326252	1.217116362	223080.0621	223122.4395	0.01520374779	0.01519797308	0.08665422757	0.04748	1.661765724e-05	0.03915760992	0.08662383464	0.04567783089	0.04409991569	0.04567783089	0.04409991569	0.247	0.08619	0.0001899648057
86	10:07:28	-0.004	0.1755730571	0	0	4.473437049	4.473437049	4.473437049	19.99805299	19.99249429	243.3902837	243.2549962	1.217188396	223581.293	223519.146	0.2334047831	0.2335345924	0.0867990129	0.04748	0.003916408524	0.03540260437	0.08744235195	-0.01397735708	-0.03796504517	-0.01397735708	-0.03796504517	0.247	0.08619	-0.0002779616518
87	10:07:51	4	4.513430075	0	0	4.474316594	4.474316594	4.474316594	20.0019849	19.95686225	243.4835948	242.3862805	1.217176365	223623.0421	223118.569	0.6647061199	0.6677153313	0.09975623081	0.04747933109	0.0317631722	0.02051372752	0.1050724154	-0.1251099142	-0.1942389778	-0.1251099142	-0.1942389778	0.2470000595	0.08619010123	-0.002255908627
88	10:08:20	8	8.792715856	0	0	4.474524378	4.474524378	4.474524378	20.00291378	19.91715663	243.5302504	241.4465847	1.217296533	223667.494	222708.5794	1.022105535	1.030926228	0.1278163534	0.04747901806	0.07510245557	0.005234879751	0.140515644	-0.2914529755	-0.3998262665	-0.2914529755	-0.3998262665	0.2470000874	0.0861901486	-0.004287233024
89	10:09:05	12	12.96412954	0	0	4.471136979	4.471136979	4.471136979	19.98777075	19.9701018	243.203662	242.7738738	1.217506774	223566.73	223369.0997	1.251633765	1.253849561	0.1909912226	0.04748	0.1126219452	0.03088927736	0.2084828518	-0.5012049963	-0.6308406917	-0.5012049963	-0.6308406917	0.247	0.08619	-0.0008839879694
90	10:10:11	-1.996	-1.986782253	0	0	7.293754452	7.293754452	7.293754452	40.01645442	40.3305999	973.5481154	988.8936132	1.215934563	446582.2379	450088.0905	0.01217662575	0.01198767076	0.08342116859	0.04126	1.025881615e-05	0.04215090977	0.08212821978	0.04933775482	0.04734125286	0.04933775482	0.04734125286	0.2498	0.08635	0.007850407601
91	10:10:32	-0.005	0.1746867361	0	0	7.288391288	7.288391288	7.288391288	39.98702996	40.27983893	971.7769673	986.0609396	1.215509341	445966.5144	449232.1482	0.2371172873	0.2336824319	0.08336090936	0.04126369646	0.00389013614	0.03820707676	0.08274917122	-0.01701767297	-0.04076551689	-0.01701767297	-0.04076551689	0.2497967575	0.08635045395	0.007322598548
92	10:11:02	4	4.506335737	0	0	7.297452099	7.297452099	7.297452099	40.0367412	40.24531872	973.9259671	984.1000322	1.215174086	446302.2643	448627.3441	0.665368023	0.6584891516	0.09404322738	0.04126	0.03063142359	0.02215180379	0.09780203751	-0.1337456904	-0.1999762109	-0.1337456904	-0.1999762109	0.2498	0.08635	0.005209652768
93	10:11:25	8	8.785758752	0	0	7.294141785	7.294141785	7.294141785	40.01857949	40.15379893	973.0521887	979.6390225	1.215186097	446104.2192	447611.5681	1.028795871	1.02187852	0.122813138	0.04126	0.07323214515	0.008320992843	0.1333809693	-0.3038089988	-0.4066920974	-0.3038089988	-0.4066920974	0.2498	0.08635	0.003378916622
94	10:12:21	12	12.91782814	0	0	7.285289075	7.285289075	7.285289075	39.97000998	40.2673662	970.6198452	985.1153852	1.215096161	445517.9036	448832.3266	1.211460745	1.193634633	0.1819365255	0.04126854716	0.1015431286	0.03912484978	0.1948049217	-0.5039443448	-0.61909064	-0.5039443448	-0.61909064	0.2497925025	0.08635104965	0.007439483243
1	08:49:45	12	12.91511334	0	-10	1.90959587	1.90941049	1.90950318	39.96707772	39.84672117	972.556266	966.7075892	1.217698979	447181.2938	445834.6556	1.18294709	1.190104037	0.09805826061	0.04126938285	0.09681917225	-0.04003029449	0.1141052083	-0.292166034	-0.416132761	-0.292166034	-0.416132761	0.2497917694	0.08635115228	-0.003011392086
2	08:51:00	8.004	8.76662566	0	-10	1.9136172	1.9136172	1.9136172	40.05124254	39.81860004	976.3820608	965.0721368	1.217356556	447888.8978	445287.2808	0.9803055085	0.9917939562	0.04644077916	0.04126	0.06649151319	-0.06131073403	0.05771763492	-0.07660849194	-0.1793430525	-0.07660849194	-0.1793430525	0.2498	0.08635	-0.005808621263
3	08:51:40	4	4.458147009	0	-10	1.920340009	1.920340009	1.920340009	40.19194826	40.05869289	983.0895958	976.5815859	1.217152452	449314.7814	447825.0898	0.5918754546	0.5958197551	0.02285890582	0.04126	0.02423840235	-0.04263949653	0.02688463619	0.1215338241	0.06116534448	0.1215338241	0.06116534448	0.2498	0.08635	-0.003315474178
4	08:52:06	0	0.111011864	0	-10	1.917459274	1.917459274	1.917459274	40.13165561	40.08214157	979.9246799	977.5081289	1.216882198	448481.0547	447927.7232	0.1440147982	0.144370825	0.01590283941	0.04126	0.001435018734	-0.02679217932	0.01616956972	0.2739686603	0.2598220496	0.2739686603	0.2598220496	0.2498	0.08635	-0.001233790098
5	08:52:36	-2	-2.071575853	0	-10	1.915841758	1.91602778	1.915934769	40.09780165	40.06454498	978.0116397	976.3900086	1.216558207	447887.434	447515.9612	-0.09292998746	-0.09308432964	0.01818205359	0.04126	0.000597523634	-0.02367547004	0.01830679109	0.3573302143	0.3674815231	0.3573302143	0.3674815231	0.2498	0.08635	-0.0008293888798
6	08:54:43	-2	-2.056682372	0	-10	4.996364211	4.996364211	4.996364211	40.00129159	40.32958514	972.8632653	988.8975147	1.216000552	446449.1974	450113.2389	-0.07493031159	-0.07371537143	0.08651912942	0.04126	0.0003884708249	0.04487065859	0.08517557463	0.3195910045	0.3219781173	0.3195910045	0.3219781173	0.2498	0.08635	0.008207073775
7	08:55:05	-0.004	0.1108244373	0	-10	4.995131128	4.995131128	4.995131128	39.99141942	40.30116616	972.2728835	987.3923589	1.215862689	446252.5791	449708.9526	0.1516512372	0.149329073	0.08424613783	0.04126244547	0.001591226345	0.04139246602	0.08319942124	0.248029506	0.2288985342	0.248029506	0.2288985342	0.2497978549	0.08635030032	0.007745329997
8	08:55:28	4	4.447130628	0	-10	4.985041496	4.985041496	4.985041496	39.91064102	40.13580322	968.2584407	979.214425	1.215748887	445273.7632	447785.8455	0.5880726392	0.5814929621	0.09079504704	0.04128546731	0.02392605311	0.02558352663	0.09346854348	0.1146587115	0.05366855613	0.1146587115	0.05366855613	0.2497776603	0.08635312756	0.005641658211
9	08:56:06	8	8.728200987	0	-10	4.993824898	4.993824898	4.993824898	39.98096164	40.13335291	971.6352777	979.056356	1.21570107	446016.8996	447716.9358	0.9542578105	0.9470247008	0.1159058117	0.04126542593	0.06300390784	0.01163647797	0.1248128063	-0.05747551821	-0.1542797403	-0.05747551821	-0.1542797403	0.2497952404	0.08635066634	0.003811595973
