block_id,J_block_level,alpha_level,delta_e_level,n_repeats,representative_run,J_mean,J_std
B01,1.6,8,-10,1,18,1.5993,0.0
B01,1.6,8,0,1,64,1.6008,0.0
B02,1.9,-2,-10,2,5,1.9091,0.0097
B02,1.9,-2,0,1,80,1.9048,0.0
B02,1.9,-2,10,2,48,1.9072,0.0083
B02,1.9,0,-10,2,4,1.9092,0.0117
B02,1.9,0,0,1,81,1.9035,0.0
B02,1.9,0,10,2,49,1.9056,0.0084
B02,1.9,4,-10,2,3,1.9123,0.0113
B02,1.9,4,0,1,82,1.8959,0.0
B02,1.9,4,10,2,50,1.9081,0.005
B02,1.9,8,-10,2,2,1.908,0.0079
B02,1.9,8,0,1,83,1.8996,0.0
B02,1.9,8,10,2,51,1.9044,0.0086
B02,1.9,12,-10,2,1,1.9052,0.006
B02,1.9,12,0,1,84,1.8961,0.0
B02,1.9,12,10,2,52,1.9054,0.0084
B03,2.5,-2,-10,1,21,2.5011,0.0
B03,2.5,-2,0,1,70,2.5051,0.0
B03,2.5,-2,10,1,43,2.5034,0.0
B03,2.5,0,-10,1,20,2.5096,0.0
B03,2.5,0,0,1,71,2.5024,0.0
B03,2.5,0,10,1,44,2.5024,0.0
B03,2.5,4,-10,1,19,2.5019,0.0
B03,2.5,4,0,1,72,2.5016,0.0
B03,2.5,4,10,1,45,2.5017,0.0
B03,2.5,8,-10,2,17,2.5007,0.0021
B03,2.5,8,0,1,73,2.5001,0.0
B03,2.5,8,10,2,46,2.5001,0.0024
B03,2.5,12,-10,1,16,2.5019,0.0
B03,2.5,12,0,1,74,2.4981,0.0
B03,2.5,12,10,1,47,2.5019,0.0
B04,3.6,-2,-10,2,11,3.5684,0.004
B04,3.6,-2,0,1,79,3.5759,0.0
B04,3.6,-2,10,2,38,3.5705,0.0035
B04,3.6,0,-10,2,12,3.5684,0.005
B04,3.6,0,0,1,78,3.5722,0.0
B04,3.6,0,10,2,39,3.5679,0.0038
B04,3.6,4,-10,2,13,3.5679,0.0056
B04,3.6,4,0,1,77,3.5703,0.0
B04,3.6,4,10,2,40,3.5751,0.0034
B04,3.6,8,-10,2,14,3.5648,0.0055
B04,3.6,8,0,1,76,3.5668,0.0
B04,3.6,8,10,2,41,3.5758,0.0022
B04,3.6,12,-10,2,15,3.5718,0.0039
B04,3.6,12,0,1,75,3.5679,0.0
B04,3.6,12,10,2,42,3.5695,0.0001
B05,4.5,-2,0,1,85,4.4639,0.0
B05,4.5,0,0,1,86,4.4734,0.0
B05,4.5,4,0,1,87,4.4743,0.0
B05,4.5,8,0,1,88,4.4745,0.0
B05,4.5,12,0,1,89,4.4711,0.0
B06,5.0,-2,-10,1,6,4.9964,0.0
B06,5.0,-2,0,1,65,4.9989,0.0
B06,5.0,-2,10,1,33,4.9918,0.0
B06,5.0,0,-10,1,7,4.9951,0.0
B06,5.0,0,0,1,66,4.9954,0.0
B06,5.0,0,10,1,34,4.993,0.0
B06,5.0,4,-10,1,8,4.985,0.0
B06,5.0,4,0,1,67,4.9901,0.0
B06,5.0,4,10,1,35,4.9938,0.0
B06,5.0,8,-10,1,9,4.9938,0.0
B06,5.0,8,0,1,68,4.9878,0.0
B06,5.0,8,10,1,36,4.9953,0.0
B06,5.0,12,-10,1,10,4.9959,0.0
B06,5.0,12,0,1,69,4.9995,0.0
B06,5.0,12,10,1,37,4.9968,0.0
B07,7.3,-2,0,1,90,7.2938,0.0
B07,7.3,0,0,1,91,7.2884,0.0
B07,7.3,4,0,1,92,7.2975,0.0
B07,7.3,8,0,1,93,7.2941,0.0
B07,7.3,12,0,1,94,7.2853,0.0
